ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,SProd,2.156696,1.177484,0.314696
1,EvSem,2.383504,0.951616,0.254330
1,WProd,2.109326,1.391417,0.371872
1,SComp,2.001577,1.225044,0.327407
1,WComp,2.252939,1.233073,0.329553
1,Artic,2.956826,1.593588,0.425904
2,SProd,2.849475,1.668100,0.445819
2,EvSem,1.770415,1.047370,0.279921
2,WProd,2.852396,1.679791,0.448943
2,SComp,0.351417,0.652482,0.174383
2,WComp,0.602399,0.489407,0.130800
2,Artic,2.981065,1.781838,0.476216
3,SProd,2.106440,1.220102,0.326086
3,EvSem,1.452815,1.205234,0.322112
3,WProd,2.279829,1.405470,0.375628
3,SComp,-0.159434,0.860173,0.229891
3,WComp,0.040970,0.578893,0.154716
3,Artic,2.671036,1.805405,0.482515
4,SProd,2.857514,1.431401,0.382558
4,EvSem,1.814764,1.101090,0.294279
4,WProd,2.907372,1.575785,0.421146
4,SComp,0.833674,0.768090,0.205281
4,WComp,1.140502,0.716443,0.191477
4,Artic,3.420896,1.750013,0.467711
5,SProd,3.267058,1.758284,0.469921
5,EvSem,2.208985,1.156672,0.309134
5,WProd,3.657785,2.321127,0.620347
5,SComp,0.023835,0.834289,0.222973
5,WComp,0.362269,0.726337,0.194122
5,Artic,4.100391,2.563940,0.685242
6,SProd,2.459144,1.320060,0.352801
6,EvSem,2.437095,1.162599,0.310718
6,WProd,2.148350,1.375856,0.367713
6,SComp,1.500401,1.096159,0.292961
6,WComp,1.746649,1.198159,0.320222
6,Artic,2.410916,1.535294,0.410325
7,SProd,2.036843,1.505162,0.402272
7,EvSem,1.458502,0.802125,0.214377
7,WProd,2.424975,1.610655,0.430466
7,SComp,0.255835,0.720751,0.192629
7,WComp,0.538340,0.435240,0.116323
7,Artic,2.799429,1.601173,0.427931
8,SProd,1.579598,1.074274,0.287112
8,EvSem,0.615163,0.516085,0.137930
8,WProd,1.680142,1.218276,0.325598
8,SComp,0.059998,0.446947,0.119452
8,WComp,0.161100,0.422361,0.112881
8,Artic,1.821546,1.214827,0.324676
9,SProd,4.828756,3.625664,0.968999
9,EvSem,2.273999,2.557238,0.683451
9,WProd,4.922021,3.581670,0.957242
9,SComp,0.396529,0.981288,0.262260
9,WComp,0.795514,0.748407,0.200020
9,Artic,5.261597,3.598954,0.961861
10,SProd,3.790126,3.057655,0.817193
10,EvSem,1.346104,2.690184,0.718982
10,WProd,3.758306,3.018249,0.806661
10,SComp,0.129600,0.830802,0.222041
10,WComp,0.258622,0.780668,0.208642
10,Artic,3.952561,3.452849,0.922813
11,SProd,2.260142,1.442863,0.385621
11,EvSem,1.232635,0.950241,0.253963
11,WProd,2.443319,1.699632,0.454246
11,SComp,0.070733,0.829659,0.221736
11,WComp,0.402424,0.597829,0.159776
11,Artic,2.780777,1.674943,0.447647
12,SProd,1.558295,0.999503,0.267128
12,EvSem,0.818105,0.653961,0.174778
12,WProd,1.666379,1.140480,0.304806
12,SComp,0.116909,0.443361,0.118493
12,WComp,0.180346,0.416091,0.111205
12,Artic,1.612480,1.171587,0.313120
13,SProd,1.872661,1.098039,0.293463
13,EvSem,1.192041,0.750727,0.200640
13,WProd,1.891992,1.291907,0.345277
13,SComp,0.368226,0.569039,0.152082
13,WComp,0.458645,0.536906,0.143494
13,Artic,1.764485,1.484030,0.396624
14,SProd,1.518086,1.177063,0.314583
14,EvSem,0.603272,0.747600,0.199805
14,WProd,1.691894,1.254420,0.335258
14,SComp,-0.008419,0.489044,0.130703
14,WComp,0.022852,0.409604,0.109471
14,Artic,1.693554,1.325926,0.354368
15,SProd,1.680718,1.014004,0.271004
15,EvSem,1.385346,0.892502,0.238531
15,WProd,1.857714,1.067897,0.285407
15,SComp,0.292367,0.703542,0.188030
15,WComp,0.558395,0.614561,0.164248
15,Artic,2.407126,1.320287,0.352862
16,SProd,1.195999,1.024314,0.273759
16,EvSem,0.310116,0.481212,0.128609
16,WProd,1.264099,1.034676,0.276529
16,SComp,-0.053025,0.462468,0.123600
16,WComp,-0.036413,0.417017,0.111452
16,Artic,1.340141,1.154217,0.308477
17,SProd,3.200198,1.999777,0.534463
17,EvSem,2.141151,1.568755,0.419267
17,WProd,3.204968,2.220385,0.593423
17,SComp,0.025373,1.035696,0.276801
17,WComp,0.360890,0.966772,0.258381
17,Artic,3.817777,2.861670,0.764814
18,SProd,1.273087,0.847068,0.226388
18,EvSem,0.890413,0.757661,0.202493
18,WProd,1.481418,0.992908,0.265366
18,SComp,-0.043703,0.271790,0.072639
