ROI,Subject,Effect, LocalizerSize,EffectSize
1,742_FED_20190320b_3T2_PL2017,SProd, 197,2.542833
1,742_FED_20190320b_3T2_PL2017,EvSem, 197,1.317986
1,742_FED_20190320b_3T2_PL2017,WProd, 197,1.078956
1,742_FED_20190320b_3T2_PL2017,SComp, 197,0.062018
1,742_FED_20190320b_3T2_PL2017,WComp, 197,1.247454
1,742_FED_20190320b_3T2_PL2017,Artic, 197,1.530014
1,746_FED_20190328a_3T2_PL2017,SProd, 183,2.565413
1,746_FED_20190328a_3T2_PL2017,EvSem, 183,0.683365
1,746_FED_20190328a_3T2_PL2017,WProd, 183,1.348134
1,746_FED_20190328a_3T2_PL2017,SComp, 183,0.276775
1,746_FED_20190328a_3T2_PL2017,WComp, 183,0.020265
1,746_FED_20190328a_3T2_PL2017,Artic, 183,-0.097625
1,747_FED_20190328b_3T2_PL2017,SProd, 125,2.675223
1,747_FED_20190328b_3T2_PL2017,EvSem, 125,2.409262
1,747_FED_20190328b_3T2_PL2017,WProd, 125,1.190195
1,747_FED_20190328b_3T2_PL2017,SComp, 125,0.155051
1,747_FED_20190328b_3T2_PL2017,WComp, 125,0.358349
1,747_FED_20190328b_3T2_PL2017,Artic, 125,0.009274
1,748_FED_20190328c_3T2_PL2017,SProd, 81,5.765130
1,748_FED_20190328c_3T2_PL2017,EvSem, 81,3.333765
1,748_FED_20190328c_3T2_PL2017,WProd, 81,2.220621
1,748_FED_20190328c_3T2_PL2017,SComp, 81,-0.705875
1,748_FED_20190328c_3T2_PL2017,WComp, 81,-0.448348
1,748_FED_20190328c_3T2_PL2017,Artic, 81,0.211090
1,749_FED_20190404a_3T2_PL2017,SProd, 37,3.777917
1,749_FED_20190404a_3T2_PL2017,EvSem, 37,3.415556
1,749_FED_20190404a_3T2_PL2017,WProd, 37,1.309050
1,749_FED_20190404a_3T2_PL2017,SComp, 37,0.356588
1,749_FED_20190404a_3T2_PL2017,WComp, 37,0.252399
1,749_FED_20190404a_3T2_PL2017,Artic, 37,-0.208917
1,750_FED_20190404b_3T2_PL2017,SProd, 111,3.417870
1,750_FED_20190404b_3T2_PL2017,EvSem, 111,2.581723
1,750_FED_20190404b_3T2_PL2017,WProd, 111,1.508073
1,750_FED_20190404b_3T2_PL2017,SComp, 111,-0.196827
1,750_FED_20190404b_3T2_PL2017,WComp, 111,0.272253
1,750_FED_20190404b_3T2_PL2017,Artic, 111,-0.464000
1,751_FED_20190404c_3T2_PL2017,SProd, 37,4.703421
1,751_FED_20190404c_3T2_PL2017,EvSem, 37,2.013232
1,751_FED_20190404c_3T2_PL2017,WProd, 37,2.166913
1,751_FED_20190404c_3T2_PL2017,SComp, 37,0.231493
1,751_FED_20190404c_3T2_PL2017,WComp, 37,0.123439
1,751_FED_20190404c_3T2_PL2017,Artic, 37,-0.174359
1,752_FED_20190404d_3T2_PL2017,SProd, 93,4.067144
1,752_FED_20190404d_3T2_PL2017,EvSem, 93,2.819116
1,752_FED_20190404d_3T2_PL2017,WProd, 93,2.442278
1,752_FED_20190404d_3T2_PL2017,SComp, 93,0.156639
1,752_FED_20190404d_3T2_PL2017,WComp, 93,-0.036728
1,752_FED_20190404d_3T2_PL2017,Artic, 93,-0.428874
1,754_FED_20190405b_3T2_PL2017,SProd, 139,0.709048
1,754_FED_20190405b_3T2_PL2017,EvSem, 139,0.523911
1,754_FED_20190405b_3T2_PL2017,WProd, 139,0.096542
1,754_FED_20190405b_3T2_PL2017,SComp, 139,-0.350934
1,754_FED_20190405b_3T2_PL2017,WComp, 139,0.155387
1,754_FED_20190405b_3T2_PL2017,Artic, 139,0.701458
1,755_FED_20190411a_3T2_PL2017,SProd, 115,2.793484
1,755_FED_20190411a_3T2_PL2017,EvSem, 115,2.209978
1,755_FED_20190411a_3T2_PL2017,WProd, 115,1.145909
1,755_FED_20190411a_3T2_PL2017,SComp, 115,-0.263006
1,755_FED_20190411a_3T2_PL2017,WComp, 115,-0.452389
1,755_FED_20190411a_3T2_PL2017,Artic, 115,-0.567477
1,756_FED_20190411b_3T2_PL2017,SProd, 96,3.096091
1,756_FED_20190411b_3T2_PL2017,EvSem, 96,2.851151
1,756_FED_20190411b_3T2_PL2017,WProd, 96,1.959613
1,756_FED_20190411b_3T2_PL2017,SComp, 96,0.268925
1,756_FED_20190411b_3T2_PL2017,WComp, 96,0.347721
1,756_FED_20190411b_3T2_PL2017,Artic, 96,0.400471
1,757_FED_20190411c_3T2_PL2017,SProd, 63,3.204892
1,757_FED_20190411c_3T2_PL2017,EvSem, 63,2.128249
