ROI,Effect,MeanEffect,StdEffect,StderrEffect
LH_postParietal,SProd,1.518993,1.228210,0.328253
LH_postParietal,WProd,1.896411,1.420534,0.379654
LH_postParietal,SComp,0.196925,0.676228,0.180729
LH_postParietal,WComp,0.492206,0.510948,0.136556
LH_postParietal,Artic,2.121266,1.538364,0.411145
LH_postParietal,EvSem,1.379218,0.786665,0.210245
LH_midParietal,SProd,1.694847,1.532604,0.409606
LH_midParietal,WProd,1.971678,1.640093,0.438333
LH_midParietal,SComp,0.192613,0.896284,0.239542
LH_midParietal,WComp,0.365879,0.838768,0.224170
LH_midParietal,Artic,2.367600,1.913632,0.511440
LH_midParietal,EvSem,1.635284,1.212990,0.324185
LH_antParietal,SProd,1.251848,0.920346,0.245973
LH_antParietal,WProd,1.485316,0.957157,0.255811
LH_antParietal,SComp,0.039243,0.500142,0.133668
LH_antParietal,WComp,0.141415,0.394482,0.105430
LH_antParietal,Artic,1.751598,1.200668,0.320892
LH_antParietal,EvSem,1.155620,0.507308,0.135584
LH_supFrontal,SProd,1.690876,1.435241,0.383584
LH_supFrontal,WProd,1.822789,1.486516,0.397288
LH_supFrontal,SComp,0.078610,0.695799,0.185960
LH_supFrontal,WComp,0.347347,0.692910,0.185188
LH_supFrontal,Artic,1.948557,1.790042,0.478409
LH_supFrontal,EvSem,1.191532,0.904727,0.241798
LH_Precentral_A_precG,SProd,2.216927,1.243043,0.332217
LH_Precentral_A_precG,WProd,2.380722,1.605078,0.428975
LH_Precentral_A_precG,SComp,0.674224,1.089219,0.291106
LH_Precentral_A_precG,WComp,1.009928,1.156764,0.309158
LH_Precentral_A_precG,Artic,2.635135,1.717235,0.458950
LH_Precentral_A_precG,EvSem,1.734045,0.967663,0.258619
LH_Precentral_B_IFGop,SProd,1.803512,1.357993,0.362939
LH_Precentral_B_IFGop,WProd,1.862343,1.243344,0.332298
LH_Precentral_B_IFGop,SComp,0.219578,0.832019,0.222366
LH_Precentral_B_IFGop,WComp,0.351396,0.819838,0.219111
LH_Precentral_B_IFGop,Artic,1.743055,1.535890,0.410484
LH_Precentral_B_IFGop,EvSem,1.521338,1.207320,0.322670
LH_midFrontal,SProd,1.308198,1.047232,0.279885
LH_midFrontal,WProd,1.531447,1.312353,0.350741
LH_midFrontal,SComp,0.222661,0.805893,0.215384
LH_midFrontal,WComp,0.377498,0.930564,0.248704
LH_midFrontal,Artic,1.143147,1.516314,0.405252
LH_midFrontal,EvSem,1.101074,0.719848,0.192387
LH_midFrontalOrb,SProd,0.820030,1.948350,0.520719
LH_midFrontalOrb,WProd,0.799886,1.690861,0.451902
LH_midFrontalOrb,SComp,0.015132,0.902739,0.241267
LH_midFrontalOrb,WComp,0.199735,0.946028,0.252837
LH_midFrontalOrb,Artic,0.450470,1.762892,0.471153
LH_midFrontalOrb,EvSem,0.624929,1.260992,0.337014
LH_insula,SProd,1.285662,1.036256,0.276951
LH_insula,WProd,1.078520,1.105378,0.295425
LH_insula,SComp,-0.004668,0.541886,0.144825
LH_insula,WComp,0.087059,0.525474,0.140439
LH_insula,Artic,0.888595,0.850757,0.227374
LH_insula,EvSem,0.884223,0.762572,0.203806
LH_medialFrontal,SProd,1.255298,1.071797,0.286450
LH_medialFrontal,WProd,1.137321,1.042441,0.278604
LH_medialFrontal,SComp,-0.066786,0.687943,0.183861
LH_medialFrontal,WComp,0.063773,0.576533,0.154085
LH_medialFrontal,Artic,0.651202,0.987657,0.263962
LH_medialFrontal,EvSem,0.829433,0.898432,0.240116
RH_postParietal,SProd,0.839613,0.727316,0.194383
RH_postParietal,WProd,1.311985,1.040775,0.278159
RH_postParietal,SComp,0.003037,0.942453,0.251881
RH_postParietal,WComp,0.330870,0.551345,0.147353
RH_postParietal,Artic,1.280772,1.163762,0.311028
RH_postParietal,EvSem,1.350384,0.905716,0.242063
RH_midParietal,SProd,0.957043,1.070005,0.285971
RH_midParietal,WProd,1.455900,1.592984,0.425743
RH_midParietal,SComp,0.065225,0.841186,0.224816
RH_midParietal,WComp,0.418865,0.694276,0.185553
RH_midParietal,Artic,1.629658,1.626399,0.434673
RH_midParietal,EvSem,1.500777,1.174608,0.313927
RH_antParietal,SProd,1.005395,1.150491,0.307482
RH_antParietal,WProd,1.271629,1.190439,0.318158
RH_antParietal,SComp,-0.242377,0.875014,0.233857
RH_antParietal,WComp,0.048388,0.507543,0.135647
RH_antParietal,Artic,1.579248,1.873314,0.500664
RH_antParietal,EvSem,1.280702,1.241130,0.331706
RH_supFrontal,SProd,1.022979,0.975588,0.260737
RH_supFrontal,WProd,1.418580,1.091527,0.291723
RH_supFrontal,SComp,-0.054645,0.869215,0.232307
RH_supFrontal,WComp,0.465365,0.820667,0.219332
RH_supFrontal,Artic,1.713209,1.438494,0.384454
RH_supFrontal,EvSem,1.545773,1.289352,0.344594
RH_Precentral_A_precG,SProd,1.035830,0.920269,0.245952
RH_Precentral_A_precG,WProd,1.407694,1.259494,0.336614
RH_Precentral_A_precG,SComp,0.285130,1.214850,0.324682
RH_Precentral_A_precG,WComp,0.554933,0.871635,0.232954
RH_Precentral_A_precG,Artic,1.567948,1.426664,0.381292
RH_Precentral_A_precG,EvSem,2.035013,1.399276,0.373972
RH_Precentral_B_IFGop,SProd,1.127968,1.558608,0.416555
RH_Precentral_B_IFGop,WProd,1.391168,1.182490,0.316034
RH_Precentral_B_IFGop,SComp,0.010032,1.178816,0.315052
RH_Precentral_B_IFGop,WComp,0.482969,1.189530,0.317915
RH_Precentral_B_IFGop,Artic,1.474643,2.020866,0.540099
RH_Precentral_B_IFGop,EvSem,2.159892,1.950330,0.521248
RH_midFrontal,SProd,0.691744,0.881468,0.235582
RH_midFrontal,WProd,1.041638,1.061239,0.283628
RH_midFrontal,SComp,0.055893,0.765497,0.204588
RH_midFrontal,WComp,0.326683,0.711573,0.190176
RH_midFrontal,Artic,0.943211,1.250980,0.334339
RH_midFrontal,EvSem,1.501918,1.207865,0.322815
RH_midFrontalOrb,SProd,0.711792,1.217438,0.325374
RH_midFrontalOrb,WProd,1.014362,1.484082,0.396638
RH_midFrontalOrb,SComp,-0.171125,0.860862,0.230075
RH_midFrontalOrb,WComp,0.123032,0.570158,0.152381
RH_midFrontalOrb,Artic,0.887289,1.441941,0.385375
RH_midFrontalOrb,EvSem,1.277054,1.276062,0.341042
RH_insula,SProd,0.841380,0.963172,0.257418
RH_insula,WProd,0.883698,0.967130,0.258476
RH_insula,SComp,-0.103512,0.624439,0.166888
RH_insula,WComp,-0.000593,0.510262,0.136373
RH_insula,Artic,0.784914,0.987277,0.263861
RH_insula,EvSem,0.899003,0.850402,0.227279
RH_medialFrontal,SProd,0.967652,1.005201,0.268651
RH_medialFrontal,WProd,0.886763,0.772609,0.206488
RH_medialFrontal,SComp,-0.184849,0.734449,0.196290
RH_medialFrontal,WComp,-0.007821,0.582412,0.155656
RH_medialFrontal,Artic,0.704473,0.991615,0.265020
RH_medialFrontal,EvSem,1.176872,0.946392,0.252934
