ROI,Effect,MeanEffect,StdEffect,StderrEffect
LH_postParietal,SProd,2.233092,0.779078,0.208217
LH_postParietal,WProd,3.389039,1.253278,0.334953
LH_postParietal,SComp,0.571463,0.547094,0.146217
LH_postParietal,WComp,1.118271,0.658860,0.176088
LH_postParietal,Artic,1.798010,1.311882,0.350615
LH_postParietal,EvSem,1.037122,0.870330,0.232605
LH_midParietal,SProd,1.005771,1.112847,0.297421
LH_midParietal,WProd,1.649448,1.679949,0.448985
LH_midParietal,SComp,0.715719,1.057714,0.282686
LH_midParietal,WComp,1.053361,0.966964,0.258432
LH_midParietal,Artic,1.046765,1.721387,0.460060
LH_midParietal,EvSem,0.830481,1.085207,0.290034
LH_antParietal,SProd,1.144874,0.912348,0.243835
LH_antParietal,WProd,1.606293,1.041617,0.278384
LH_antParietal,SComp,0.554345,0.766328,0.204810
LH_antParietal,WComp,0.935590,1.038790,0.277628
LH_antParietal,Artic,2.064222,1.303912,0.348485
LH_antParietal,EvSem,1.032422,1.027185,0.274527
LH_supFrontal,SProd,2.720311,1.761842,0.470872
LH_supFrontal,WProd,3.274292,2.243268,0.599539
LH_supFrontal,SComp,1.074654,1.250316,0.334161
LH_supFrontal,WComp,1.302584,1.517583,0.405591
LH_supFrontal,Artic,2.079325,1.637794,0.437719
LH_supFrontal,EvSem,1.043586,1.188132,0.317542
LH_Precentral_A_precG,SProd,3.206701,1.766690,0.472168
LH_Precentral_A_precG,WProd,3.903786,1.992711,0.532574
LH_Precentral_A_precG,SComp,1.548859,1.255553,0.335561
LH_Precentral_A_precG,WComp,1.951206,1.931967,0.516340
LH_Precentral_A_precG,Artic,4.042801,2.900940,0.775309
LH_Precentral_A_precG,EvSem,1.237144,1.841274,0.492101
LH_Precentral_B_IFGop,SProd,3.150386,1.817363,0.485711
LH_Precentral_B_IFGop,WProd,3.598431,1.826459,0.488142
LH_Precentral_B_IFGop,SComp,1.437901,0.926747,0.247683
LH_Precentral_B_IFGop,WComp,1.675649,1.440707,0.385045
LH_Precentral_B_IFGop,Artic,2.707634,2.014618,0.538429
LH_Precentral_B_IFGop,EvSem,1.542580,1.664622,0.444889
LH_midFrontal,SProd,2.737986,1.644762,0.439581
LH_midFrontal,WProd,3.228017,1.768824,0.472738
LH_midFrontal,SComp,0.888122,0.893320,0.238750
LH_midFrontal,WComp,1.278749,1.334929,0.356775
LH_midFrontal,Artic,1.666672,1.793123,0.479232
