ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,S,1.123370,0.833188,0.240521
1,N,0.056208,0.670226,0.193478
2,S,1.774833,1.313138,0.379070
2,N,0.458818,0.657528,0.189812
3,S,1.968719,1.116719,0.322369
3,N,0.500154,0.586947,0.169437
4,S,1.155755,0.483146,0.139472
4,N,-0.027371,0.227863,0.065778
5,S,1.597635,0.556623,0.160683
5,N,0.207355,0.443808,0.128116
6,S,0.668168,0.669452,0.193254
6,N,-0.717347,0.803758,0.232025
7,S,0.172951,0.461115,0.133113
7,N,-0.098243,0.388759,0.112225
8,S,0.501163,0.844199,0.243699
8,N,0.178883,0.459493,0.132644
9,S,0.238564,1.130029,0.326211
9,N,0.215653,0.653751,0.188722
10,S,0.702237,0.515527,0.148820
10,N,-0.064865,0.323859,0.093490
11,S,0.599073,0.786086,0.226923
11,N,0.060565,0.492651,0.142216
12,S,-0.112346,1.076120,0.310649
12,N,-0.370135,0.669354,0.193226
