ROI,Effect,MeanEffect,StdEffect,StderrEffect
22,WComp,1.078464,0.781253,0.208799
22,Artic,2.059721,1.459383,0.390037
23,SProd,0.889024,0.785873,0.210033
23,EvSem,0.286122,0.367775,0.098292
23,WProd,0.958929,0.842060,0.225050
23,SComp,0.049698,0.252356,0.067445
23,WComp,0.094309,0.220822,0.059017
23,Artic,1.111534,0.772752,0.206527
24,SProd,1.215174,1.024287,0.273752
24,EvSem,0.303562,0.818443,0.218738
24,WProd,1.281858,0.927006,0.247753
24,SComp,0.789530,0.674071,0.180153
24,WComp,0.606377,0.424543,0.113464
24,Artic,1.665861,1.375331,0.367573
25,SProd,1.569074,1.028261,0.274814
25,EvSem,1.232503,0.903168,0.241382
25,WProd,2.230827,1.592593,0.425638
25,SComp,0.975895,0.918055,0.245361
25,WComp,1.050757,0.640853,0.171275
25,Artic,1.944742,1.363513,0.364414
26,SProd,0.954344,0.686484,0.183471
26,EvSem,0.913013,0.582882,0.155782
26,WProd,1.427990,1.098079,0.293474
26,SComp,0.617573,0.548118,0.146491
26,WComp,0.631075,0.518532,0.138583
26,Artic,1.292104,1.043376,0.278854
27,SProd,0.633208,0.657551,0.175738
27,EvSem,0.537852,0.353351,0.094437
27,WProd,0.990699,0.925286,0.247293
27,SComp,0.197491,0.293902,0.078549
27,WComp,0.326296,0.428767,0.114593
27,Artic,1.095477,0.950418,0.254010
28,SProd,0.858930,0.743571,0.198728
28,EvSem,0.985242,0.527933,0.141096
28,WProd,1.308104,1.132414,0.302650
28,SComp,0.643289,0.473220,0.126473
28,WComp,0.723355,0.548053,0.146473
28,Artic,1.562302,1.110742,0.296858
29,SProd,1.654569,1.302686,0.348157
29,EvSem,1.328916,0.862518,0.230518
29,WProd,1.875407,1.497138,0.400127
29,SComp,0.642990,0.753029,0.201255
29,WComp,0.685074,0.737766,0.197176
29,Artic,1.675365,1.357464,0.362797
30,SProd,0.913576,0.897274,0.239807
30,EvSem,0.447024,0.313062,0.083669
30,WProd,1.070078,0.935165,0.249933
30,SComp,0.199747,0.282204,0.075422
30,WComp,0.230867,0.405211,0.108297
30,Artic,1.124638,0.971430,0.259625
31,SProd,1.226899,0.913959,0.244266
31,EvSem,1.106652,0.699797,0.187029
31,WProd,1.670040,1.367403,0.365454
31,SComp,0.440135,0.527520,0.140986
31,WComp,0.508254,0.500785,0.133840
31,Artic,1.756038,1.167477,0.312021
