ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,S,1.374531,0.781831,0.208953
1,N,0.336617,0.561036,0.149943
2,S,1.929226,1.387110,0.370721
2,N,0.478515,0.686075,0.183361
3,S,2.524272,1.636155,0.437281
3,N,0.902371,1.022779,0.273349
4,S,0.922072,0.424343,0.113410
4,N,0.105418,0.278978,0.074560
5,S,1.503071,0.840050,0.224513
5,N,0.423010,0.413767,0.110584
6,S,0.531697,0.577154,0.154251
6,N,0.006596,0.341606,0.091298
7,S,0.504481,0.735883,0.196673
7,N,0.375874,0.591683,0.158134
8,S,0.660072,0.740055,0.197788
8,N,0.382992,0.557569,0.149016
9,S,0.831671,0.717871,0.191859
9,N,0.640253,0.659452,0.176246
10,S,0.686304,0.928733,0.248214
10,N,0.317209,0.796869,0.212972
11,S,0.597850,0.582462,0.155669
11,N,0.290185,0.391816,0.104717
12,S,0.295307,0.477889,0.127721
12,N,0.183218,0.392538,0.104910
