ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,S,1.958228,1.391546,0.359296
1,N,0.679835,1.046983,0.270330
2,S,2.445931,1.429257,0.369033
2,N,0.681553,0.712759,0.184034
3,S,3.755213,2.169515,0.560166
3,N,1.628562,1.250502,0.322878
4,S,1.534841,1.136957,0.293561
4,N,0.210639,0.900966,0.232628
5,S,2.098604,0.951534,0.245685
5,N,0.719733,0.704207,0.181825
6,S,0.019953,0.452469,0.116827
6,N,-0.478834,0.524223,0.135354
7,S,1.102758,1.395574,0.360336
7,N,0.654869,1.126272,0.290802
8,S,1.675226,1.498672,0.386956
8,N,0.933162,0.998828,0.257896
9,S,1.739393,1.313839,0.339232
9,N,1.337398,1.056903,0.272891
10,S,1.060530,1.081475,0.279236
10,N,0.173803,0.806686,0.208286
11,S,0.980182,0.795950,0.205514
11,N,0.457729,0.582781,0.150473
12,S,0.069351,0.517122,0.133520
12,N,-0.061510,0.425628,0.109897
