ROI,Subject,Effect, LocalizerSize,EffectSize
1,770_FED_20191120c_3T2_PL2017,S, 37,1.131190
1,770_FED_20191120c_3T2_PL2017,N, 37,0.628658
1,788_FED_20191120b_3T2_PL2017,S, 37,1.538155
1,788_FED_20191120b_3T2_PL2017,N, 37,-0.792710
1,803_FED_20191120d_3T2_PL2017,S, 37,1.694229
1,803_FED_20191120d_3T2_PL2017,N, 37,0.213188
1,805_FED_20191204a_3T2_PL2017,S, 37,1.529495
1,805_FED_20191204a_3T2_PL2017,N, 37,0.375428
1,806_FED_20191204b_3T2_PL2017,S, 37,1.655270
1,806_FED_20191204b_3T2_PL2017,N, 37,0.140568
1,807_FED_20191204c_3T2_PL2017,S, 37,1.468736
1,807_FED_20191204c_3T2_PL2017,N, 37,1.160147
1,797_FED_20200205a_3T2_PL2017,S, 37,0.165667
1,797_FED_20200205a_3T2_PL2017,N, 37,-0.039805
1,261_FED_20200205b_3T2_PL2017,S, 37,1.441903
1,261_FED_20200205b_3T2_PL2017,N, 37,0.446303
1,824_FED_20200130a_3T2_PL2017,S, 37,0.016987
1,824_FED_20200130a_3T2_PL2017,N, 37,0.046120
1,825_FED_20200130b_3T2_PL2017,S, 37,0.817281
1,825_FED_20200130b_3T2_PL2017,N, 37,0.386310
1,826_FED_20200130c_3T2_PL2017,S, 37,1.560394
1,826_FED_20200130c_3T2_PL2017,N, 37,0.180256
1,827_FED_20200130d_3T2_PL2017,S, 37,2.757675
1,827_FED_20200130d_3T2_PL2017,N, 37,0.777571
1,828_FED_20200205c_3T2_PL2017,S, 37,2.687735
1,828_FED_20200205c_3T2_PL2017,N, 37,1.433318
1,831_FED_20200213b_3T2_PL2017,S, 37,0.778714
1,831_FED_20200213b_3T2_PL2017,N, 37,-0.242714
2,770_FED_20191120c_3T2_PL2017,S, 74,1.277474
2,770_FED_20191120c_3T2_PL2017,N, 74,0.129225
2,788_FED_20191120b_3T2_PL2017,S, 74,2.323691
2,788_FED_20191120b_3T2_PL2017,N, 74,-0.886110
2,803_FED_20191120d_3T2_PL2017,S, 74,3.377107
2,803_FED_20191120d_3T2_PL2017,N, 74,1.250492
2,805_FED_20191204a_3T2_PL2017,S, 74,4.188440
2,805_FED_20191204a_3T2_PL2017,N, 74,1.521295
2,806_FED_20191204b_3T2_PL2017,S, 74,2.590831
2,806_FED_20191204b_3T2_PL2017,N, 74,0.265850
2,807_FED_20191204c_3T2_PL2017,S, 74,0.897565
2,807_FED_20191204c_3T2_PL2017,N, 74,0.437157
2,797_FED_20200205a_3T2_PL2017,S, 74,0.050921
2,797_FED_20200205a_3T2_PL2017,N, 74,-0.039707
2,261_FED_20200205b_3T2_PL2017,S, 74,3.720521
2,261_FED_20200205b_3T2_PL2017,N, 74,0.837375
2,824_FED_20200130a_3T2_PL2017,S, 74,0.503729
2,824_FED_20200130a_3T2_PL2017,N, 74,-0.015035
2,825_FED_20200130b_3T2_PL2017,S, 74,0.094270
2,825_FED_20200130b_3T2_PL2017,N, 74,-0.176339
2,826_FED_20200130c_3T2_PL2017,S, 74,3.193822
2,826_FED_20200130c_3T2_PL2017,N, 74,1.012950
2,827_FED_20200130d_3T2_PL2017,S, 74,1.832712
2,827_FED_20200130d_3T2_PL2017,N, 74,1.127680
2,828_FED_20200205c_3T2_PL2017,S, 74,2.367972
2,828_FED_20200205c_3T2_PL2017,N, 74,1.160029
2,831_FED_20200213b_3T2_PL2017,S, 74,0.590116
2,831_FED_20200213b_3T2_PL2017,N, 74,0.074352
3,770_FED_20191120c_3T2_PL2017,S, 46,2.533926
3,770_FED_20191120c_3T2_PL2017,N, 46,0.822492
3,788_FED_20191120b_3T2_PL2017,S, 46,2.961265
3,788_FED_20191120b_3T2_PL2017,N, 46,-0.028729
3,803_FED_20191120d_3T2_PL2017,S, 46,3.794009
3,803_FED_20191120d_3T2_PL2017,N, 46,1.326435
3,805_FED_20191204a_3T2_PL2017,S, 46,2.196263
3,805_FED_20191204a_3T2_PL2017,N, 46,0.256004
3,806_FED_20191204b_3T2_PL2017,S, 46,1.392451
3,806_FED_20191204b_3T2_PL2017,N, 46,0.496202
3,807_FED_20191204c_3T2_PL2017,S, 46,2.377489
3,807_FED_20191204c_3T2_PL2017,N, 46,0.327179
3,797_FED_20200205a_3T2_PL2017,S, 46,0.703452
3,797_FED_20200205a_3T2_PL2017,N, 46,-0.068247
3,261_FED_20200205b_3T2_PL2017,S, 46,4.961554
3,261_FED_20200205b_3T2_PL2017,N, 46,1.720563
3,824_FED_20200130a_3T2_PL2017,S, 46,0.368355
3,824_FED_20200130a_3T2_PL2017,N, 46,0.106131
3,825_FED_20200130b_3T2_PL2017,S, 46,2.850529
3,825_FED_20200130b_3T2_PL2017,N, 46,1.435818
3,826_FED_20200130c_3T2_PL2017,S, 46,6.060408
3,826_FED_20200130c_3T2_PL2017,N, 46,3.838845
3,827_FED_20200130d_3T2_PL2017,S, 46,0.829623
3,827_FED_20200130d_3T2_PL2017,N, 46,0.500306
3,828_FED_20200205c_3T2_PL2017,S, 46,3.137329
3,828_FED_20200205c_3T2_PL2017,N, 46,1.345714
3,831_FED_20200213b_3T2_PL2017,S, 46,1.173159
3,831_FED_20200213b_3T2_PL2017,N, 46,0.554480
4,770_FED_20191120c_3T2_PL2017,S, 162,0.917919
4,770_FED_20191120c_3T2_PL2017,N, 162,0.423906
4,788_FED_20191120b_3T2_PL2017,S, 162,1.072518
4,788_FED_20191120b_3T2_PL2017,N, 162,-0.355908
4,803_FED_20191120d_3T2_PL2017,S, 162,0.935749
4,803_FED_20191120d_3T2_PL2017,N, 162,0.168534
4,805_FED_20191204a_3T2_PL2017,S, 162,1.558406
4,805_FED_20191204a_3T2_PL2017,N, 162,0.462290
4,806_FED_20191204b_3T2_PL2017,S, 162,0.826838
4,806_FED_20191204b_3T2_PL2017,N, 162,-0.095449
4,807_FED_20191204c_3T2_PL2017,S, 162,0.856445
4,807_FED_20191204c_3T2_PL2017,N, 162,0.241234
4,797_FED_20200205a_3T2_PL2017,S, 162,0.272344
4,797_FED_20200205a_3T2_PL2017,N, 162,-0.095689
4,261_FED_20200205b_3T2_PL2017,S, 162,1.656639
4,261_FED_20200205b_3T2_PL2017,N, 162,0.203254
4,824_FED_20200130a_3T2_PL2017,S, 162,0.464078
4,824_FED_20200130a_3T2_PL2017,N, 162,0.223108
4,825_FED_20200130b_3T2_PL2017,S, 162,0.774289
4,825_FED_20200130b_3T2_PL2017,N, 162,-0.333063
4,826_FED_20200130c_3T2_PL2017,S, 162,1.410215
4,826_FED_20200130c_3T2_PL2017,N, 162,0.360122
4,827_FED_20200130d_3T2_PL2017,S, 162,1.010258
4,827_FED_20200130d_3T2_PL2017,N, 162,0.136436
4,828_FED_20200205c_3T2_PL2017,S, 162,0.909613
4,828_FED_20200205c_3T2_PL2017,N, 162,0.370780
4,831_FED_20200213b_3T2_PL2017,S, 162,0.243702
4,831_FED_20200213b_3T2_PL2017,N, 162,-0.233696
5,770_FED_20191120c_3T2_PL2017,S, 294,0.144909
5,770_FED_20191120c_3T2_PL2017,N, 294,-0.194524
5,788_FED_20191120b_3T2_PL2017,S, 294,2.447230
5,788_FED_20191120b_3T2_PL2017,N, 294,-0.134961
5,803_FED_20191120d_3T2_PL2017,S, 294,2.235253
5,803_FED_20191120d_3T2_PL2017,N, 294,0.773795
5,805_FED_20191204a_3T2_PL2017,S, 294,1.643096
5,805_FED_20191204a_3T2_PL2017,N, 294,0.641430
5,806_FED_20191204b_3T2_PL2017,S, 294,1.334735
5,806_FED_20191204b_3T2_PL2017,N, 294,0.056875
5,807_FED_20191204c_3T2_PL2017,S, 294,1.471735
5,807_FED_20191204c_3T2_PL2017,N, 294,0.837333
5,797_FED_20200205a_3T2_PL2017,S, 294,0.223874
5,797_FED_20200205a_3T2_PL2017,N, 294,-0.090069
5,261_FED_20200205b_3T2_PL2017,S, 294,2.501676
5,261_FED_20200205b_3T2_PL2017,N, 294,0.393714
5,824_FED_20200130a_3T2_PL2017,S, 294,0.303566
5,824_FED_20200130a_3T2_PL2017,N, 294,0.226614
5,825_FED_20200130b_3T2_PL2017,S, 294,1.829673
5,825_FED_20200130b_3T2_PL2017,N, 294,0.910893
5,826_FED_20200130c_3T2_PL2017,S, 294,2.112299
5,826_FED_20200130c_3T2_PL2017,N, 294,0.752743
5,827_FED_20200130d_3T2_PL2017,S, 294,2.285103
5,827_FED_20200130d_3T2_PL2017,N, 294,0.655294
5,828_FED_20200205c_3T2_PL2017,S, 294,1.787797
5,828_FED_20200205c_3T2_PL2017,N, 294,0.948124
5,831_FED_20200213b_3T2_PL2017,S, 294,0.722043
5,831_FED_20200213b_3T2_PL2017,N, 294,0.144884
6,770_FED_20191120c_3T2_PL2017,S, 64,0.271503
6,770_FED_20191120c_3T2_PL2017,N, 64,-0.026630
6,788_FED_20191120b_3T2_PL2017,S, 64,0.295406
6,788_FED_20191120b_3T2_PL2017,N, 64,-0.024991
6,803_FED_20191120d_3T2_PL2017,S, 64,0.845738
6,803_FED_20191120d_3T2_PL2017,N, 64,0.624848
6,805_FED_20191204a_3T2_PL2017,S, 64,0.400444
6,805_FED_20191204a_3T2_PL2017,N, 64,0.104057
6,806_FED_20191204b_3T2_PL2017,S, 64,0.297875
6,806_FED_20191204b_3T2_PL2017,N, 64,-0.612435
6,807_FED_20191204c_3T2_PL2017,S, 64,0.632832
6,807_FED_20191204c_3T2_PL2017,N, 64,0.230920
6,797_FED_20200205a_3T2_PL2017,S, 64,0.104604
6,797_FED_20200205a_3T2_PL2017,N, 64,-0.117701
6,261_FED_20200205b_3T2_PL2017,S, 64,1.974401
6,261_FED_20200205b_3T2_PL2017,N, 64,0.290017
6,824_FED_20200130a_3T2_PL2017,S, 64,0.500657
6,824_FED_20200130a_3T2_PL2017,N, 64,0.342395
6,825_FED_20200130b_3T2_PL2017,S, 64,-0.234956
6,825_FED_20200130b_3T2_PL2017,N, 64,-0.535289
6,826_FED_20200130c_3T2_PL2017,S, 64,1.187686
6,826_FED_20200130c_3T2_PL2017,N, 64,-0.319111
6,827_FED_20200130d_3T2_PL2017,S, 64,1.029999
6,827_FED_20200130d_3T2_PL2017,N, 64,0.138177
6,828_FED_20200205c_3T2_PL2017,S, 64,0.250973
6,828_FED_20200205c_3T2_PL2017,N, 64,0.177908
6,831_FED_20200213b_3T2_PL2017,S, 64,-0.113399
6,831_FED_20200213b_3T2_PL2017,N, 64,-0.179818
7,770_FED_20191120c_3T2_PL2017,S, 37,-0.286333
7,770_FED_20191120c_3T2_PL2017,N, 37,0.399186
7,788_FED_20191120b_3T2_PL2017,S, 37,0.594658
7,788_FED_20191120b_3T2_PL2017,N, 37,-0.391926
7,803_FED_20191120d_3T2_PL2017,S, 37,0.536612
7,803_FED_20191120d_3T2_PL2017,N, 37,0.395998
7,805_FED_20191204a_3T2_PL2017,S, 37,0.944213
7,805_FED_20191204a_3T2_PL2017,N, 37,0.529268
7,806_FED_20191204b_3T2_PL2017,S, 37,-0.309320
7,806_FED_20191204b_3T2_PL2017,N, 37,-0.264426
7,807_FED_20191204c_3T2_PL2017,S, 37,0.241557
7,807_FED_20191204c_3T2_PL2017,N, 37,0.371014
7,797_FED_20200205a_3T2_PL2017,S, 37,0.018604
7,797_FED_20200205a_3T2_PL2017,N, 37,0.026494
7,261_FED_20200205b_3T2_PL2017,S, 37,0.613299
7,261_FED_20200205b_3T2_PL2017,N, 37,0.105406
7,824_FED_20200130a_3T2_PL2017,S, 37,0.016294
