ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,SProd,1.903460,1.161179,0.310338
1,EvSem,2.110105,1.186242,0.317036
1,WProd,1.025182,0.842231,0.225096
1,SComp,0.244322,0.529755,0.141583
1,WComp,0.301111,0.576283,0.154018
1,Artic,0.377578,0.817062,0.218369
2,SProd,1.301697,1.028355,0.274839
2,EvSem,1.529491,1.182182,0.315951
2,WProd,0.469408,0.725740,0.193962
2,SComp,0.217453,0.482646,0.128992
2,WComp,0.228871,0.456463,0.121995
2,Artic,0.173248,0.840225,0.224560
3,SProd,1.897273,1.357196,0.362726
3,EvSem,1.553820,1.067839,0.285392
3,WProd,1.302327,1.238192,0.330921
3,SComp,0.220651,0.576938,0.154193
3,WComp,0.376792,0.558865,0.149363
3,Artic,1.022271,1.308336,0.349667
4,SProd,1.241327,1.574323,0.420756
4,EvSem,-0.096719,1.153874,0.308386
4,WProd,0.218036,1.807959,0.483197
4,SComp,-0.028824,0.814986,0.217814
4,WComp,0.120778,0.821569,0.219574
4,Artic,0.039806,1.911775,0.510943
5,SProd,0.958149,1.278160,0.341603
5,EvSem,0.167743,0.718403,0.192001
5,WProd,0.072067,1.111462,0.297051
5,SComp,0.233214,0.577531,0.154352
5,WComp,0.282823,0.823123,0.219989
5,Artic,0.149679,1.151124,0.307651
6,SProd,1.286978,1.588455,0.424533
6,EvSem,0.283192,1.360974,0.363735
6,WProd,0.642575,1.308439,0.349695
6,SComp,0.058179,0.493264,0.131830
6,WComp,0.071124,0.635813,0.169928
6,Artic,0.424218,1.108659,0.296302
7,SProd,0.297147,0.747204,0.199699
7,EvSem,-0.350630,1.319360,0.352614
7,WProd,-0.704553,0.825242,0.220555
7,SComp,0.233817,0.700755,0.187285
7,WComp,-0.041792,0.798627,0.213442
7,Artic,-0.869094,1.343489,0.359063
8,SProd,0.130929,0.581425,0.155392
8,EvSem,-0.344681,0.608456,0.162617
8,WProd,-0.122856,0.703561,0.188035
8,SComp,-0.010645,0.354888,0.094848
8,WComp,-0.003173,0.357354,0.095507
8,Artic,-0.007033,0.546685,0.146108
9,SProd,0.893563,1.413532,0.377782
9,EvSem,0.395448,1.232147,0.329305
9,WProd,0.448646,1.447926,0.386975
9,SComp,0.440348,0.579887,0.154981
9,WComp,0.319276,0.697919,0.186527
9,Artic,0.420929,1.777825,0.475144
10,SProd,0.335089,1.101594,0.294413
10,EvSem,0.258703,1.132385,0.302643
10,WProd,-0.273869,1.954273,0.522301
10,SComp,-0.140924,0.660007,0.176394
10,WComp,-0.087937,0.566316,0.151354
10,Artic,0.203914,1.044278,0.279095
11,SProd,0.997083,1.285027,0.343438
11,EvSem,1.017530,1.208409,0.322961
11,WProd,0.779497,1.227219,0.327988
11,SComp,0.509075,0.862680,0.230561
11,WComp,0.596145,1.038341,0.277508
11,Artic,0.748337,1.371984,0.366678
12,SProd,0.484518,0.901908,0.241045
12,EvSem,0.189225,0.584123,0.156114
12,WProd,-0.002645,0.790974,0.211397
12,SComp,-0.093434,0.517173,0.138220
12,WComp,0.005192,0.313849,0.083880
12,Artic,0.314041,0.785572,0.209953
13,SProd,2.976450,2.549320,0.681335
13,EvSem,2.861489,2.054007,0.548956
13,WProd,2.566570,2.155582,0.576104
13,SComp,0.237216,1.225874,0.327629
13,WComp,0.337399,1.235246,0.330134
13,Artic,0.121259,1.047891,0.280061
14,SProd,2.515760,2.393279,0.639631
14,EvSem,2.434713,1.930589,0.515972
14,WProd,2.206214,2.401900,0.641935
