ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,H,1.022792,0.832165,0.250907
1,E,0.813986,0.635783,0.191696
2,H,0.919491,0.907609,0.273654
2,E,0.674705,0.721626,0.217578
3,H,0.685986,0.507056,0.152883
3,E,0.461070,0.388554,0.117154
4,H,0.497534,1.073966,0.323813
4,E,-0.039547,0.553674,0.166939
5,H,-0.083050,1.379018,0.415790
5,E,-0.176551,0.756604,0.228125
6,H,0.720925,0.952365,0.287149
6,E,0.467281,0.659315,0.198791
7,H,-0.820786,1.704148,0.513820
7,E,-0.333043,0.564949,0.170339
8,H,-0.020341,0.512629,0.154563
8,E,0.019017,0.331601,0.099982
9,H,1.254626,1.508019,0.454685
9,E,0.889757,1.028183,0.310009
10,H,0.103010,1.605490,0.484073
10,E,-0.069637,1.382628,0.416878
11,H,0.457267,0.562164,0.169499
11,E,0.330646,0.386786,0.116620
12,H,0.083335,1.323250,0.398975
12,E,-0.000678,0.969442,0.292298
13,H,2.202104,2.325311,0.701108
13,E,1.727360,2.041557,0.615552
14,H,1.786172,1.799256,0.542496
14,E,1.517933,1.635550,0.493137
15,H,1.225309,1.381912,0.416662
15,E,0.848060,0.885270,0.266919
16,H,-1.029145,2.215291,0.667935
16,E,-0.593008,1.635073,0.492993
17,H,1.768270,1.987866,0.599364
17,E,1.548379,1.759953,0.530646
18,H,-0.218549,0.864615,0.260691
18,E,-0.131990,0.697931,0.210434
19,H,1.102505,1.530613,0.461497
19,E,0.581057,0.974037,0.293683
20,H,-0.647150,0.821189,0.247598
20,E,-0.783289,0.866718,0.261325
21,H,0.412082,0.790056,0.238211
21,E,0.246797,0.501445,0.151191
22,H,0.486556,1.278352,0.385438
22,E,0.186722,0.840218,0.253335
23,H,-0.106482,0.458508,0.138245
23,E,-0.034953,0.388404,0.117108
24,H,-0.069935,0.334054,0.100721
24,E,-0.071365,0.221652,0.066831
25,H,-0.719770,2.077358,0.626347
25,E,-0.230468,0.734111,0.221343
26,H,0.697828,0.894777,0.269785
26,E,0.465402,0.707617,0.213355
27,H,0.650921,1.247489,0.376132
27,E,0.552807,1.127665,0.340004
28,H,0.903426,1.777697,0.535996
28,E,0.652537,1.539876,0.464290
29,H,0.041230,0.741716,0.223636
29,E,-0.076818,0.389563,0.117458
30,H,-0.361188,1.024417,0.308873
30,E,-0.388515,0.609752,0.183847
31,H,-0.045407,0.720545,0.217252
31,E,0.050469,0.451840,0.136235
32,H,0.214682,0.475843,0.143472
32,E,0.141812,0.335333,0.101107
33,H,0.861506,1.574533,0.474740
33,E,0.694923,1.284865,0.387401
34,H,0.072729,0.241216,0.072729
34,E,0.039795,0.131984,0.039795
35,H,-0.053704,0.253004,0.076284
35,E,-0.002094,0.280805,0.084666
36,H,0.668054,0.997546,0.300772
36,E,0.382016,0.485297,0.146323
37,H,0.266081,0.503097,0.151689
37,E,0.130769,0.471979,0.142307
38,H,0.044124,0.189722,0.057203
38,E,0.013124,0.107680,0.032467
39,H,-0.028809,0.481248,0.145102
39,E,-0.003721,0.368904,0.111229
40,H,0.000000,0.000000,0.000000
40,E,0.000000,0.000000,0.000000
41,H,0.087131,0.505723,0.152481
41,E,0.132224,0.444859,0.134130
42,H,0.070273,0.706160,0.212915
42,E,0.094916,0.583138,0.175823
43,H,0.000000,0.000000,0.000000
43,E,0.000000,0.000000,0.000000
44,H,0.000000,0.000000,0.000000
44,E,0.000000,0.000000,0.000000
45,H,0.000000,0.000000,0.000000
45,E,0.000000,0.000000,0.000000
46,H,0.000000,0.000000,0.000000
46,E,0.000000,0.000000,0.000000
47,H,0.000000,0.000000,0.000000
47,E,0.000000,0.000000,0.000000
48,H,0.000000,0.000000,0.000000
48,E,0.000000,0.000000,0.000000
