ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,SProd,1.604947,0.812238,0.217080
1,EvSem,0.781315,0.555519,0.148469
1,WProd,1.502864,0.865379,0.231282
1,SComp,0.829183,0.531287,0.141993
1,WComp,0.998412,0.531091,0.141940
1,Artic,1.834367,0.955489,0.255365
2,SProd,2.254533,1.400917,0.374411
2,EvSem,2.570056,1.069824,0.285923
2,WProd,2.208208,1.441879,0.385358
2,SComp,1.835855,1.182380,0.316004
2,WComp,2.057171,1.152964,0.308143
2,Artic,2.425166,1.519151,0.406010
3,SProd,1.252102,1.033092,0.276105
3,EvSem,0.737543,1.036234,0.276945
3,WProd,1.185125,1.275893,0.340997
3,SComp,0.401579,0.723630,0.193398
3,WComp,0.553806,0.679008,0.181472
3,Artic,1.490351,1.106078,0.295612
4,SProd,0.750465,0.660737,0.176589
4,EvSem,0.641890,0.629021,0.168113
4,WProd,0.725127,0.727139,0.194336
4,SComp,0.471983,0.649993,0.173718
4,WComp,0.615812,0.611924,0.163544
4,Artic,0.879266,0.996219,0.266251
5,SProd,2.284788,1.377329,0.368107
5,EvSem,1.396076,0.699493,0.186947
5,WProd,2.139447,1.267486,0.338750
5,SComp,0.432800,0.597963,0.159812
5,WComp,0.698306,0.455299,0.121684
5,Artic,2.286680,1.416718,0.378634
6,SProd,1.895076,1.184282,0.316513
6,EvSem,1.509302,0.867926,0.231963
6,WProd,1.936119,1.258806,0.336430
6,SComp,0.697147,0.791859,0.211633
6,WComp,1.011925,0.948137,0.253400
6,Artic,2.014534,1.311423,0.350493
7,SProd,1.603228,1.110239,0.296724
7,EvSem,0.961914,0.842470,0.225160
7,WProd,1.656422,1.180603,0.315529
7,SComp,0.264504,0.453144,0.121108
7,WComp,0.401977,0.442182,0.118178
7,Artic,1.370355,0.980424,0.262029
8,SProd,0.698961,0.905964,0.242129
8,EvSem,0.532922,0.728984,0.194829
8,WProd,0.546302,0.955072,0.255254
8,SComp,0.209419,0.751400,0.200820
8,WComp,0.348755,0.726693,0.194217
8,Artic,0.804979,1.064351,0.284460
9,SProd,1.005234,0.832706,0.222550
9,EvSem,0.723399,0.631329,0.168730
9,WProd,1.158705,0.867056,0.231730
9,SComp,0.117823,0.243677,0.065125
9,WComp,0.230404,0.305542,0.081660
9,Artic,1.079576,0.868739,0.232180
10,SProd,1.497433,1.015877,0.271505
10,EvSem,1.596444,0.902249,0.241136
10,WProd,1.698223,1.262195,0.337336
10,SComp,0.892757,0.651835,0.174210
10,WComp,1.090060,0.644331,0.172205
10,Artic,1.606802,1.013370,0.270834
11,SProd,0.327514,0.494125,0.132060
11,EvSem,0.104313,0.511714,0.136761
11,WProd,0.103539,0.740954,0.198028
11,SComp,0.222481,0.418795,0.111928
11,WComp,0.317416,0.402949,0.107693
11,Artic,0.398952,0.544882,0.145626
12,SProd,2.643846,1.543201,0.412438
12,EvSem,2.745841,1.413454,0.377761
12,WProd,2.367721,1.418293,0.379055
12,SComp,1.623277,1.127870,0.301436
12,WComp,1.824925,1.167792,0.312106
12,Artic,2.138031,1.549274,0.414061
13,SProd,0.252485,0.562764,0.150405
13,EvSem,0.243382,0.543044,0.145135
13,WProd,0.114504,0.520499,0.139109
13,SComp,0.110138,0.492118,0.131524
13,WComp,0.184829,0.368596,0.098511
13,Artic,0.299845,0.678429,0.181318
14,SProd,0.813482,0.860732,0.230040
14,EvSem,0.602648,0.505871,0.135200
14,WProd,0.747784,0.862997,0.230646
14,SComp,0.218582,0.510973,0.136563
14,WComp,0.296992,0.380546,0.101705
14,Artic,0.903174,1.084470,0.289837
15,SProd,1.734730,1.454754,0.388799
15,EvSem,1.016046,1.265946,0.338338
15,WProd,1.561970,1.383545,0.369768
15,SComp,0.379003,0.690567,0.184562
15,WComp,0.668255,0.904229,0.241665
15,Artic,2.122616,1.549718,0.414179
16,SProd,2.419328,1.759775,0.470320
16,EvSem,2.632540,1.396410,0.373206
16,WProd,2.135362,1.578804,0.421953
16,SComp,1.084469,1.032137,0.275850
16,WComp,1.362123,1.169288,0.312505
16,Artic,1.877474,1.463460,0.391126
17,SProd,1.153614,0.797305,0.213089
17,EvSem,0.467911,0.342041,0.091414
17,WProd,0.890049,0.753889,0.201485
17,SComp,0.546721,0.535809,0.143201
17,WComp,0.662493,0.641335,0.171404
17,Artic,1.140752,0.832963,0.222619
18,SProd,1.545016,0.913974,0.244270
18,EvSem,1.201359,0.706680,0.188868
18,WProd,1.639621,1.095996,0.292917
18,SComp,0.388455,0.629046,0.168120
18,WComp,0.590236,0.708703,0.189409
18,Artic,1.454065,1.230265,0.328802
19,SProd,1.916211,1.328461,0.355046
19,EvSem,0.826685,0.838368,0.224063
19,WProd,1.436462,1.175472,0.314158
19,SComp,0.416459,0.628909,0.168083
19,WComp,0.692740,0.728279,0.194641
19,Artic,1.770681,1.204747,0.321982
20,SProd,1.042268,0.812511,0.217153
20,EvSem,0.835300,0.564056,0.150750
20,WProd,0.993285,0.768815,0.205474
20,SComp,0.151996,0.535197,0.143037
20,WComp,0.296203,0.431252,0.115257
20,Artic,1.111365,0.869637,0.232420
21,SProd,1.453588,1.132262,0.302610
21,EvSem,0.652922,0.831566,0.222245
21,WProd,1.078255,1.173740,0.313695
21,SComp,0.363490,0.662823,0.177147
