ROI,Effect,MeanEffect,StdEffect,StderrEffect
LH_postParietal,SProd,1.307249,1.187101,0.317266
LH_postParietal,WProd,2.072419,1.710890,0.457255
LH_postParietal,SComp,0.625392,0.637300,0.170326
LH_postParietal,WComp,0.737819,0.564988,0.150999
LH_postParietal,Artic,1.320569,1.130895,0.302244
LH_postParietal,EvSem,1.111218,0.823170,0.220001
LH_midParietal,SProd,0.890081,1.017400,0.271912
LH_midParietal,WProd,1.425197,1.624753,0.434234
LH_midParietal,SComp,0.605434,0.654215,0.174846
LH_midParietal,WComp,0.751377,0.624783,0.166980
LH_midParietal,Artic,1.360332,1.570780,0.419809
LH_midParietal,EvSem,1.077598,0.769751,0.205725
LH_antParietal,SProd,0.517545,0.694672,0.185659
LH_antParietal,WProd,0.884436,0.875719,0.234046
LH_antParietal,SComp,0.294332,0.474014,0.126685
LH_antParietal,WComp,0.517933,0.495022,0.132300
LH_antParietal,Artic,1.012073,0.858818,0.229529
LH_antParietal,EvSem,0.769822,0.530956,0.141904
LH_supFrontal,SProd,1.070951,0.970829,0.259465
LH_supFrontal,WProd,1.355788,1.213761,0.324391
LH_supFrontal,SComp,0.315190,0.606721,0.162153
LH_supFrontal,WComp,0.407422,0.526404,0.140688
LH_supFrontal,Artic,1.043470,1.121868,0.299832
LH_supFrontal,EvSem,0.751588,0.588185,0.157199
LH_Precentral_A_precG,SProd,1.980947,1.462548,0.390882
LH_Precentral_A_precG,WProd,2.663312,1.803308,0.481954
LH_Precentral_A_precG,SComp,1.212743,1.057011,0.282498
LH_Precentral_A_precG,WComp,1.252831,1.159906,0.309998
LH_Precentral_A_precG,Artic,2.408072,1.737848,0.464459
LH_Precentral_A_precG,EvSem,1.612092,1.025732,0.274138
LH_Precentral_B_IFGop,SProd,1.821298,1.169610,0.312591
LH_Precentral_B_IFGop,WProd,2.202217,1.675379,0.447764
LH_Precentral_B_IFGop,SComp,0.611897,0.855050,0.228522
LH_Precentral_B_IFGop,WComp,0.718467,0.844940,0.225820
LH_Precentral_B_IFGop,Artic,1.747148,1.552477,0.414917
LH_Precentral_B_IFGop,EvSem,1.425246,0.864937,0.231164
LH_midFrontal,SProd,1.507131,1.647764,0.440383
LH_midFrontal,WProd,2.069065,1.749728,0.467634
LH_midFrontal,SComp,0.543119,0.910863,0.243438
LH_midFrontal,WComp,0.584921,0.894653,0.239106
LH_midFrontal,Artic,1.420127,1.503755,0.401895
LH_midFrontal,EvSem,1.085837,0.826999,0.221025
LH_midFrontalOrb,SProd,0.579101,1.597861,0.427046
LH_midFrontalOrb,WProd,1.186475,1.528921,0.408621
LH_midFrontalOrb,SComp,-0.153765,0.942229,0.251821
LH_midFrontalOrb,WComp,0.085862,0.811824,0.216969
LH_midFrontalOrb,Artic,0.500501,1.660960,0.443910
LH_midFrontalOrb,EvSem,0.502222,0.986136,0.263556
LH_insula,SProd,1.235270,1.057260,0.282565
LH_insula,WProd,1.487257,1.130489,0.302136
LH_insula,SComp,0.208880,0.503367,0.134530
LH_insula,WComp,0.249192,0.280497,0.074966
LH_insula,Artic,0.992416,0.720844,0.192654
LH_insula,EvSem,0.693111,0.529457,0.141503
LH_medialFrontal,SProd,1.645016,1.718848,0.459381
LH_medialFrontal,WProd,1.887531,1.814153,0.484853
LH_medialFrontal,SComp,0.270063,0.639830,0.171002
LH_medialFrontal,WComp,0.335902,0.529387,0.141485
LH_medialFrontal,Artic,1.248918,1.114315,0.297813
LH_medialFrontal,EvSem,0.945086,0.626584,0.167462
RH_postParietal,SProd,1.003856,0.836354,0.223525
RH_postParietal,WProd,1.788161,1.525196,0.407626
RH_postParietal,SComp,0.391416,0.385324,0.102982
RH_postParietal,WComp,0.430352,0.453671,0.121249
RH_postParietal,Artic,0.813349,0.868844,0.232208
RH_postParietal,EvSem,0.902465,0.487789,0.130367
RH_midParietal,SProd,0.301976,0.701889,0.187588
RH_midParietal,WProd,0.967577,0.993564,0.265541
RH_midParietal,SComp,0.385777,0.496030,0.132570
RH_midParietal,WComp,0.492658,0.618015,0.165172
RH_midParietal,Artic,0.834179,1.164022,0.311098
RH_midParietal,EvSem,0.660218,0.902514,0.241207
RH_antParietal,SProd,0.050319,0.495830,0.132516
RH_antParietal,WProd,0.452648,0.735573,0.196590
RH_antParietal,SComp,0.068633,0.430143,0.114960
RH_antParietal,WComp,0.237467,0.396427,0.105950
RH_antParietal,Artic,0.569319,0.787988,0.210599
