ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,SProd,4.781943,1.398161,0.361004
1,EvSem,0.155441,0.826862,0.213495
1,WProd,5.680094,1.345842,0.347495
1,SComp,1.756336,1.847456,0.477011
1,WComp,1.889357,1.785284,0.460958
1,Artic,6.568804,1.640855,0.423667
2,SProd,4.260165,1.684568,0.434954
2,EvSem,2.965288,1.324067,0.341873
2,WProd,4.835310,1.372284,0.354322
2,SComp,3.140887,1.196835,0.309021
2,WComp,3.302423,1.128466,0.291369
2,Artic,4.376448,1.399167,0.361263
3,SProd,4.252822,1.863405,0.481129
3,EvSem,-0.061694,0.854212,0.220557
3,WProd,4.898599,1.755450,0.453255
3,SComp,1.265792,2.044188,0.527807
3,WComp,1.547267,2.064521,0.533057
3,Artic,6.183560,1.598278,0.412674
4,SProd,4.305516,1.352662,0.349256
4,EvSem,-0.213631,0.873754,0.225602
4,WProd,5.052646,1.169002,0.301835
4,SComp,1.011217,2.000957,0.516645
4,WComp,1.189148,1.805345,0.466138
4,Artic,5.707138,1.576672,0.407095
5,SProd,3.309451,1.194760,0.308486
5,EvSem,0.816163,0.889059,0.229554
5,WProd,3.816230,0.957286,0.247170
5,SComp,0.987914,0.945221,0.244055
5,WComp,1.302800,0.982020,0.253557
5,Artic,3.903530,1.354771,0.349800
6,SProd,3.342353,1.556018,0.401762
6,EvSem,1.343051,0.749604,0.193547
6,WProd,4.070594,1.670590,0.431344
6,SComp,1.525586,1.031557,0.266347
6,WComp,1.926984,1.002414,0.258822
6,Artic,3.908042,1.536530,0.396730
7,SProd,2.029837,0.927447,0.239466
7,EvSem,0.747290,0.538269,0.138981
7,WProd,2.231324,0.822579,0.212389
7,SComp,0.567208,0.455626,0.117642
7,WComp,0.713825,0.537209,0.138707
7,Artic,2.061485,0.684203,0.176660
8,SProd,3.597827,1.421147,0.366939
8,EvSem,-0.666125,0.732631,0.189165
8,WProd,4.441322,1.474470,0.380707
8,SComp,0.622351,1.928646,0.497974
8,WComp,0.676929,1.751397,0.452209
8,Artic,4.493772,1.450892,0.374619
9,SProd,1.450458,0.675501,0.174414
9,EvSem,0.055159,0.373887,0.096537
9,WProd,1.819694,0.652313,0.168426
9,SComp,0.243007,0.500408,0.129205
9,WComp,0.377460,0.449531,0.116068
9,Artic,1.798138,0.641908,0.165740
10,SProd,2.430569,0.765406,0.197627
10,EvSem,1.198563,0.683870,0.176574
