cond1,cond2,expt_data,ROI,network,p_value,cohen_d
SProd,WProd,expt2_prod/expt2_prod,1-6,lang,8.479696518567615e-4,0.6091330549996185
SProd_typed,WProd_typed,expt3_prod/expt3_prod,1-6,lang,1.281384424299101e-6,0.8302199930845386
WProd_typed,NProd_typed,expt3_prod/expt3_prod,1-6,lang,0.5237182367362314,-0.1050743723970064
