cond1,cond2,expt_data,ROI,p_value_uncorrected,p_value_fdr_corrected,cohen_d
WProd,NProd,expt1_prod/expt1_prod,1,0.7357178097357864,0.7357178097357864,0.18405048565825424
WProd,NProd,expt1_prod/expt1_prod,2,0.013677565642621133,0.0820653938557268,1.506462476269741
WProd,NProd,expt1_prod/expt1_prod,3,0.06651276716058176,0.1330255343211635,1.063590732177657
WProd,NProd,expt1_prod/expt1_prod,4,0.2652986607500196,0.31835839290002355,0.6202508820056479
WProd,NProd,expt1_prod/expt1_prod,5,0.17118456490411968,0.2567768473561795,0.7710001628514531
WProd,NProd,expt1_prod/expt1_prod,6,0.031928327099435785,0.09578498129830736,1.2734288015205302
WProd,NProd,expt2a_prod/expt2a_prod,1,0.2564096431823879,0.3076915718188655,0.6585111989757497
WProd,NProd,expt2a_prod/expt2a_prod,2,0.014088902800614422,0.08453341680368653,1.5718835551152064
WProd,NProd,expt2a_prod/expt2a_prod,3,0.21863640941922113,0.3076915718188655,0.7170311755927372
WProd,NProd,expt2a_prod/expt2a_prod,4,0.8286769248359372,0.8286769248359372,-0.12247870452973851
WProd,NProd,expt2a_prod/expt2a_prod,5,0.2475630731067643,0.3076915718188655,0.6715745320011756
WProd,NProd,expt2a_prod/expt2a_prod,6,0.06137849934655931,0.18413549803967794,1.135719393892773
WProd_typed,NProd_typed,expt2b_prod/expt2b_prod,1,0.7910137423031888,0.8245713453707544,-0.15005290290383427
WProd_typed,NProd_typed,expt2b_prod/expt2b_prod,2,0.8245713453707544,0.8245713453707544,-0.1254674935056219
WProd_typed,NProd_typed,expt2b_prod/expt2b_prod,3,0.7941813429898102,0.8245713453707544,0.14771947814398306
WProd_typed,NProd_typed,expt2b_prod/expt2b_prod,4,0.004821778140225147,0.028930668841350884,-1.8811840004491704
WProd_typed,NProd_typed,expt2b_prod/expt2b_prod,5,0.15811238680126896,0.3781377670845216,-0.8307350310832975
WProd_typed,NProd_typed,expt2b_prod/expt2b_prod,6,0.1890688835422608,0.3781377670845216,-0.7688016864738401
SProd,WProd,expt1_prod/expt1_prod,1,3.527593209407123e-4,7.055186418814246e-4,2.5028363783828937
SProd,WProd,expt1_prod/expt1_prod,2,0.003591269751884082,0.004309523702260899,1.8665970542713595
SProd,WProd,expt1_prod/expt1_prod,3,0.00871333401915424,0.00871333401915424,1.6283221483367476
SProd,WProd,expt1_prod/expt1_prod,4,4.7604510695085705e-4,7.140676604262856e-4,2.4186201924960637
