cond1,cond2,expt_data,ROI,p_value_uncorrected,p_value_fdr_corrected,cohen_d
SProd_typed,fixation,expt3_prod/expt3_prod,1,0.009098777108179046,0.017702127640890356,1.5069448299888168
SProd_typed,fixation,expt3_prod/expt3_prod,2,0.003075272927402983,0.017702127640890356,1.771241315643795
SProd_typed,fixation,expt3_prod/expt3_prod,3,0.009609728293673335,0.017702127640890356,1.4937426347328306
SProd_typed,fixation,expt3_prod/expt3_prod,4,0.16488351552702585,0.197860218632431,0.5605356813493206
SProd_typed,fixation,expt3_prod/expt3_prod,5,0.011801418427260237,0.017702127640890356,1.4433863207304731
SProd_typed,fixation,expt3_prod/expt3_prod,6,0.9693060869769423,0.9693060869769423,0.015238556773950728
SProd_typed,N,expt3_prod/expt3_langloc,1,0.04031313079305195,0.12093939237915585,1.2632701715906578
SProd_typed,N,expt3_prod/expt3_langloc,2,0.03773570374459573,0.12093939237915585,1.2830313460534961
SProd_typed,N,expt3_prod/expt3_langloc,3,0.5261304163774785,0.6313564996529741,0.36133722956380987
SProd_typed,N,expt3_prod/expt3_langloc,4,0.4912870551191437,0.6313564996529741,0.2738329958759537
SProd_typed,N,expt3_prod/expt3_langloc,5,0.39490513576113784,0.6313564996529741,0.48806295763121327
SProd_typed,N,expt3_prod/expt3_langloc,6,0.9917387482945654,0.9917387482945654,0.005854858931887015
SProd_typed,VisEvSem,expt3_prod/expt3_prod,1,0.012656374409323476,0.025312748818646952,1.6029003924267564
SProd_typed,VisEvSem,expt3_prod/expt3_prod,2,0.010741444279029488,0.025312748818646952,1.6502768103150505
SProd_typed,VisEvSem,expt3_prod/expt3_prod,3,0.01857757403131922,0.02786636104697883,1.491619165690932
SProd_typed,VisEvSem,expt3_prod/expt3_prod,4,0.566262810739571,0.6795153728874851,0.3264571119122476
SProd_typed,VisEvSem,expt3_prod/expt3_prod,5,0.007245815621936311,0.025312748818646952,1.76375905706436
SProd_typed,VisEvSem,expt3_prod/expt3_prod,6,0.8920971773968689,0.8920971773968689,-0.07673325980657306
SProd_typed,SProd,expt3_prod/expt1_prod,1,0.0740311996025074,0.0740311996025074,0.8554983886131576
SProd_typed,SProd,expt3_prod/expt1_prod,2,0.04214518667349278,0.05057422400819133,1.149319508807245
SProd_typed,SProd,expt3_prod/expt1_prod,3,0.03219287444810563,0.04828931167215845,1.763698724060278
SProd_typed,SProd,expt3_prod/expt1_prod,4,0.027556688818733598,0.04828931167215845,1.4123974531394372
SProd_typed,SProd,expt3_prod/expt1_prod,5,0.029147750767472946,0.04828931167215845,1.3214469112758203
SProd_typed,SProd,expt3_prod/expt1_prod,6,0.015913623890749056,0.04828931167215845,1.3914919426648487
