cond1,cond2,expt_data,ROI,p_value_uncorrected,p_value_fdr_corrected,cohen_d
SProd,fixation,expt2_prod/expt2_prod,1,0.009922728271031163,0.011907273925237395,1.6562419207094834
SProd,fixation,expt2_prod/expt2_prod,2,6.332085857619386e-4,0.0013320917256350938,2.448667460778991
SProd,fixation,expt2_prod/expt2_prod,3,7.378383490760548e-5,4.427030094456329e-4,3.1147829131916605
SProd,fixation,expt2_prod/expt2_prod,4,0.0020535542369836423,0.0030803313554754637,2.1053877360851234
SProd,fixation,expt2_prod/expt2_prod,5,6.660458628175469e-4,0.0013320917256350938,2.4336707451418604
SProd,fixation,expt2_prod/expt2_prod,6,0.024866105274454993,0.024866105274454993,1.392817751668362
SProd_typed,fixation,expt3_prod/expt3_prod,1,0.009098777108179046,0.017702127640890356,1.5069448299888168
SProd_typed,fixation,expt3_prod/expt3_prod,2,0.003075272927402983,0.017702127640890356,1.771241315643795
SProd_typed,fixation,expt3_prod/expt3_prod,3,0.009609728293673335,0.017702127640890356,1.4937426347328306
SProd_typed,fixation,expt3_prod/expt3_prod,4,0.16488351552702585,0.197860218632431,0.5605356813493206
SProd_typed,fixation,expt3_prod/expt3_prod,5,0.011801418427260237,0.017702127640890356,1.4433863207304731
SProd_typed,fixation,expt3_prod/expt3_prod,6,0.9693060869769423,0.9693060869769423,0.015238556773950728
SProd,Nonwords,expt2_prod/expt2_langloc,1,0.0028734267912500105,0.0028734267912500105,2.2998535096660166
SProd,Nonwords,expt2_prod/expt2_langloc,2,0.0018613394455990091,0.0025180224305958805,2.4524094859927885
SProd,Nonwords,expt2_prod/expt2_langloc,3,1.9434441716574666e-4,0.00116606650299448,3.29958451989912
SProd,Nonwords,expt2_prod/expt2_langloc,4,0.0015435048211225849,0.0025180224305958805,2.519022241041765
SProd,Nonwords,expt2_prod/expt2_langloc,5,0.002098352025496567,0.0025180224305958805,2.410041311576925
SProd,Nonwords,expt2_prod/expt2_langloc,6,0.0012687423288150024,0.0025180224305958805,1.5750724322205805
SProd_typed,Nonwords,expt3_prod/expt3_langloc,1,0.04031313079305195,0.12093939237915585,1.2632701715906578
SProd_typed,Nonwords,expt3_prod/expt3_langloc,2,0.03773570374459573,0.12093939237915585,1.2830313460534961
SProd_typed,Nonwords,expt3_prod/expt3_langloc,3,0.5261304163774785,0.6313564996529741,0.36133722956380987
SProd_typed,Nonwords,expt3_prod/expt3_langloc,4,0.4912870551191437,0.6313564996529741,0.2738329958759537
SProd_typed,Nonwords,expt3_prod/expt3_langloc,5,0.39490513576113784,0.6313564996529741,0.48806295763121327
SProd_typed,Nonwords,expt3_prod/expt3_langloc,6,0.9917387482945654,0.9917387482945654,0.005854858931887015
SProd_typed,NProd_typed,expt3_prod/expt3_prod,1,1.952355995294316e-5,1.1714135971765896e-4,3.614767179432409
SProd_typed,NProd_typed,expt3_prod/expt3_prod,2,0.0037091693341468977,0.0055637540012203465,1.9570084404668446
SProd_typed,NProd_typed,expt3_prod/expt3_prod,3,0.00863388671256305,0.01036066405507566,1.7132563025289103
SProd_typed,NProd_typed,expt3_prod/expt3_prod,4,2.0016663677897614e-4,4.003332735579523e-4,2.8345754340909513
SProd_typed,NProd_typed,expt3_prod/expt3_prod,5,8.691594968545955e-5,2.607478490563787e-4,3.1037923158970955
SProd_typed,NProd_typed,expt3_prod/expt3_prod,6,0.01173877829484187,0.01173877829484187,1.624645837834768
SProd_typed,VisEvSem,expt3_prod/expt3_prod,1,0.012656374409323476,0.025312748818646952,1.6029003924267564
SProd_typed,VisEvSem,expt3_prod/expt3_prod,2,0.010741444279029488,0.025312748818646952,1.6502768103150505
SProd_typed,VisEvSem,expt3_prod/expt3_prod,3,0.01857757403131922,0.02786636104697883,1.491619165690932
SProd_typed,VisEvSem,expt3_prod/expt3_prod,4,0.566262810739571,0.6795153728874851,0.3264571119122476
SProd_typed,VisEvSem,expt3_prod/expt3_prod,5,0.007245815621936311,0.025312748818646952,1.76375905706436
SProd_typed,VisEvSem,expt3_prod/expt3_prod,6,0.8920971773968689,0.8920971773968689,-0.07673325980657306
