expt_data,ROI,effect,p_value_uncorrected,p_value_fdr_corrected,cohen_d
expt1_prod,1,TaskType,2.3774578275426984e-5,1.426474696525619e-4,0.9766445005213524
expt1_prod,1,StimType,0.5734399986754739,0.6594893244478635,0.12333811737328888
expt1_prod,1,TaskType:StimType,0.0883483081069529,0.15902695459251523,0.3762534761341136
expt1_prod,2,TaskType,8.979724354848675e-11,1.6163503838727613e-9,1.6174956954906914
expt1_prod,2,StimType,0.14679596438392684,0.2402115780827894,0.3195753709828502
expt1_prod,2,TaskType:StimType,0.5862127328425453,0.6594893244478635,0.11924277332356945
expt1_prod,3,TaskType,2.388538472407462e-9,2.1496846251667158e-8,1.4587832827822784
expt1_prod,3,StimType,0.2186933684682997,0.3028062024945688,0.2704329981869148
expt1_prod,3,TaskType:StimType,0.6938998073331184,0.6938998073331184,0.08617954229178613
expt1_prod,4,TaskType,0.0024533104765375045,0.01103989714441877,0.6815767012366385
expt1_prod,4,StimType,0.031103043513753575,0.06220608702750715,0.47846053226350194
expt1_prod,4,TaskType:StimType,0.16270521919784248,0.24405782879676371,0.30733662259782824
expt1_prod,5,TaskType,0.004688298613605765,0.016877875008980754,0.6339949678226054
expt1_prod,5,StimType,0.022335453313470026,0.050758589278184434,0.5079380840519092
expt1_prod,5,TaskType:StimType,0.2427914084676752,0.3121603823155824,0.2566932530396361
expt1_prod,6,TaskType,0.645469598676141,0.6834383985982669,-0.1007574137875403
expt1_prod,6,StimType,0.012138011472811535,0.036414034418434604,0.5594368939370634
expt1_prod,6,TaskType:StimType,0.022559373012526415,0.050758589278184434,0.5070668966789529
