W,PRON,Include,256,NL,NN,SFN,NBN,SFBN,NBF,NBE,SFBF,SFBE,NON,SFON,NPN,SFPN,BFNC,BFNT,TFNC,TFNT,BFSC,BFST,TFSC,TFST,NP
shraunt,Sr9nt,,,7,0,0,8,40,7,1,12,28,30,134,0,0,1084,402199,97,8942,60,20507,8,160,5
shreal,Sril,1,,6,0,0,10,246,10,0,246,0,30,134,4,0,1295,937056,154,67015,125,44746,30,6835,4
shrelf,SrElf,,,6,0,0,3,50,3,0,50,0,30,134,0,0,913,670605,49,16818,122,41401,23,3067,5
shrick,SrIk,1,,6,2,10,22,386,22,0,386,0,30,134,6,34,944,417373,127,21943,134,39982,30,3452,4
shriece,Sris,1,,7,0,0,2,111,2,0,111,0,30,134,3,21,902,398354,90,23335,70,19669,17,382,4
shroch,SrQJ,,,6,0,0,1,3,0,1,0,3,30,134,1,0,1139,588001,68,24657,168,48277,28,4152,4
shrod,SrQd,1,,5,1,2,15,310,15,0,310,0,30,134,5,6,754,420937,58,23213,80,46252,6,1075,4
shrorb,Sr9b,,,6,0,0,1,0,1,0,0,0,30,134,1,0,877,740477,55,22119,118,37671,27,4119,4
shrourge,Sr9_,,,8,0,0,1,2,0,1,0,2,30,134,0,0,1296,963406,160,126629,20,1395,6,564,4
shrourn,Sr9n,,,7,0,0,2,2,2,0,2,0,30,134,4,58,1117,907565,141,126569,59,50725,15,32466,4
shruke,Sruk,1,,6,0,0,3,39,3,0,39,0,30,134,3,5,777,351550,49,4330,116,34842,22,2157,4
shrutch,SrVJ,1,,7,0,0,5,35,4,1,30,5,30,134,3,2,1042,593716,126,18725,59,19949,11,1069,4
shruv,SrVv,1,,5,2,8,2,0,2,0,0,0,30,134,4,2,489,220434,42,3577,79,39167,7,354,4
shry,Sr2,1,,4,2,1,18,7854,18,0,7854,0,30,134,6,562,366,199785,30,2388,23,10112,0,0,3
skabe,sk1b,1,,5,1,3,1,2,1,0,2,0,46,374,4,132,267,202831,4,132,34,2849,1,57,4
skarce,sk#s,,,6,1,9,2,12,1,1,3,9,46,374,6,21,605,367985,28,10084,104,26841,8,3103,4
skeave,skiv,1,,6,0,0,4,237,4,0,237,0,46,374,6,113,1028,620302,84,108752,69,9265,4,201,4
skise,sk2s,1,,5,1,0,3,117,0,3,0,117,46,374,6,23,486,648544,50,12462,109,90608,19,3333,4
skisk,skIsk,,,5,0,0,4,76,4,0,76,0,46,374,0,0,323,424700,42,7659,60,7534,17,1606,5
skoarse,sk9s,,,7,0,0,2,15,2,0,15,0,46,374,5,19,927,604060,84,41690,19,1709,0,0,4
skole,sk5l,1,,5,1,10,11,592,11,0,592,0,46,374,9,1041,592,222385,32,12204,51,32161,3,6908,4
skount,sk6nt,,,6,0,0,3,104,3,0,104,0,46,374,2,0,625,583901,76,42967,44,28730,2,3292,5
skourge,sk9_,1,,7,1,2,1,2,0,1,0,2,46,374,5,9,694,608149,65,61976,30,19628,5,123,4
skus,skVs,1,,4,1,2,7,1182,6,1,1182,0,46,374,7,20,198,158257,7,381,10,5600,0,0,4
skute,skjut,,,5,1,3,7,15,7,0,15,0,46,374,0,0,387,281025,21,1628,71,43995,7,1159,5
slasque,sl{sk,1,,7,0,0,2,1,1,1,0,1,120,655,0,0,843,568806,152,25920,68,5737,12,916,5
sleff,slEf,1,,5,0,0,2,2,2,0,2,0,120,655,6,2,619,181637,30,13344,96,20602,7,2879,4
slelch,slElJ,,,6,0,0,2,12,1,1,1,11,120,655,0,0,1056,424697,37,4210,126,18866,6,284,5
slez,slEz,1,,4,2,2,1,0,1,0,0,0,120,655,8,2,523,150000,23,3701,39,4674,2,24,4
sloal,sl5l,1,,5,1,4,4,70,4,0,70,0,120,655,6,31,655,264918,61,6204,114,25245,14,967,4
sloathe,sl5D,,,7,0,0,1,2,1,0,2,0,120,655,6,26,1303,4180643,186,1329460,70,5727,13,747,4
sloin,sl4n,1,,5,1,2,4,73,4,0,73,0,120,655,1,0,779,590762,46,13479,120,30164,10,532,4
slune,slun,,,5,2,6,4,72,4,0,72,0,120,655,8,1,708,259445,51,5097,156,45690,18,1111,4
slurch,sl3J,1,,6,0,0,2,153,2,0,153,0,120,655,4,0,820,313395,68,12179,120,35043,10,7854,4
slurnt,sl3nt,,,6,0,0,1,18,1,0,18,0,120,655,2,4,602,196115,62,14316,79,19791,8,468,5
smaitch,sm1J,,,7,0,0,1,0,1,0,0,0,43,1012,0,0,932,801013,125,32334,37,4876,6,1184,4
smawn,sm9n,1,,5,2,1,11,130,11,0,130,0,43,1012,4,410,316,190453,34,12533,50,36297,9,10689,4
smeague,smig,1,,7,0,0,1,30,1,0,30,0,43,1012,2,2,829,499858,53,22758,41,4470,3,369,4
