cond1,cond2,expt_data,ROI,network,p_value,cohen_d
WProd,NProd,expt1_prod/expt1_prod,1-6,lang,0.004275755304398817,0.32536182262979224
WProd_typed,NProd_typed,expt3_prod/expt3_prod,1-6,lang,0.5237182367351398,-0.10507437239792769
SProd,WProd,expt1_prod/expt1_prod,1-6,lang,1.3951012521058698e-5,0.4990532561664397
SProd,WProd,expt2_prod/expt2_prod,1-6,lang,8.479696517740869e-4,0.6091330549963487
SProd_typed,WProd_typed,expt3_prod/expt3_prod,1-6,lang,1.2813844244091256e-6,0.8302199930712926
SProd,WProd,expt1_MD_prod/expt1_MD_prod,1-20,MD,4.165178918435568e-24,-0.6338960733727599
SProd,NProd,expt1_MD_prod/expt1_MD_prod,1-20,MD,0.1237790328993469,-0.09408961620756584
SProd,WProd,expt2_MD_prod/expt2_MD_prod,1-20,MD,3.952512365757299e-4,-0.3533282393256158
SProd,WProd,expt3_MD_prod/expt3_MD_prod,1-20,MD,0.010003480840242067,-0.22543027790168227
SProd,NProd,expt3_MD_prod/expt3_MD_prod,1-20,MD,0.00922160869155601,-0.22789826373147495
