production,img,hit,subject_np,vp,subject_np_head,vp_head
A man is bowling,6721214117.jpg,1,A man, is bowling,man,bowling
A man is bowling.,6721214117.jpg,1,A man, is bowling.,man,bowling
A man just threw a bowling ball and is waiting to see where it hits.,6721214117.jpg,1,A man, threw a bowling ball and is waiting to see where it hits.,man,threw
A man is bowling.,6721214117.jpg,1,A man, is bowling.,man,bowling
A man is bowling in a bowling alley.,6721214117.jpg,1,A man, is bowling in a bowling alley.,man,bowling
A man just threw a bowling ball down the alley and is about to make a strike.,6721214117.jpg,1,A man, threw a bowling ball down the alley and is about to make a strike.,man,threw
A man is bowling in a competition.,6721214117.jpg,1,A man, is bowling in a competition.,man,bowling
A man is bowling.,6721214117.jpg,1,A man, is bowling.,man,bowling
A man is bowling in an international competition,6721214117.jpg,1,A man, is bowling in an international competition,man,bowling
A man is bowling in a building that has flags hanging on the walls.,6721214117.jpg,1,A man, is bowling in a building that has flags hanging on the walls.,man,bowling
he throw the ball,6721214117.jpg,1,he, throws the ball,he,throws
A man is rolling a bowling ball.,6721214117.jpg,1,A man,is rolling a bowling ball.,man,rolling
A man throws a bowling ball at some pins.,6721214117.jpg,1,A man, throws a bowling ball at some pins.,man,throws
A man stands in position and stares at the bowling ball he rolled.,6721214117.jpg,1,A man, stands in position and stares at the bowling ball he rolled.,man,stands
A man is watching his bowling ball approach the pins.,6721214117.jpg,1,A man,is watching his bowling ball approach the pins.,man,watching
A man is bowling competitively.,6721214117.jpg,1,A man, is bowling competitively.,man,bowling
A man is bowling.,6721214117.jpg,1,A man, is bowling.,man,bowling
A man is bowling.,6721214117.jpg,1,A man, is bowling.,man,bowling
A man is playing a game of bowling.,6721214117.jpg,1,A man,is playing a game of bowling.,man,playing
A man is bowling,6721214117.jpg,1,A man, is bowling,man,bowling
a bowler is watching the bowling ball go down the lane towards bowling pins.,6721214117.jpg,1,a bowler,is watching the bowling ball go down the lane towards bowling pins.,bowler,watching
A man is putting blue paint on a wall,5822092748.jpg,1,A man,is putting blue paint on a wall,man,putting
Someone is up on a latter with a paint bucket hanging off the side and painting the walls of a building blue.,5822092748.jpg,1,Someone, is up on a latter with a paint bucket hanging off the side and painting the walls of a building blue.,Someone,is
a guy painting a wall,5822092748.jpg,1,a guy, painting a wall,guy,painting
A man stands on a ladder while painting a building blue.,5822092748.jpg,1,A man, stands on a ladder while painting a building blue.,man,stands
A man is painting a wall,5822092748.jpg,1,A man,is painting a wall,man,painting
A man on a ladder is painting a home.,5822092748.jpg,1,A man on a ladder,is painting a home.,man,painting
A man is standing on a short ladder painting a building a bright blue color.,5822092748.jpg,1,A man,is standing on a short ladder painting a building a bright blue color.,man,standing
A man is painting a building.,5822092748.jpg,1,A man,is painting a building.,man,painting
A man is painting a building.,5822092748.jpg,1,A man,is painting a building.,man,painting
A Hispanic looking man on a ladder wearing an orange shirt and black pants with blue sandals paints a wall.,5822092748.jpg,1,A Hispanic looking man on a ladder, paints a wall,man,paints
A man paints a wall while standing on a ladder.,5822092748.jpg,1,A man, paints a wall while standing on a ladder.,man,paints
A man is painting his house.,5822092748.jpg,1,A man,is painting his house.,man,painting
A man is standing on a ladder writing on the wall.,5822092748.jpg,1,A man,is standing on a ladder writing on the wall.,man,standing
A man is painting a house blue.,5822092748.jpg,1,A man,is painting a house blue.,man,painting
A man is painting a building blue,5822092748.jpg,1,A man,is painting a building blue,man,painting
A man is painting the outside of a building blue.,5822092748.jpg,1,A man,is painting the outside of a building blue.,man,painting
A man paints the outside of a house,5822092748.jpg,1,A man, paints the outside of a house,man,paints
A man on a ladder is painting his house blue.,5822092748.jpg,1,A man on a ladder,is painting his house blue.,man,painting
A man is painting a building.,5822092748.jpg,1,A man,is painting a building.,man,painting
A man is standing on a ladder painting a wall blue.,5822092748.jpg,1,A man,is standing on a ladder painting a wall blue.,man,standing
A man wearing orange is standing upon a ladder painting a wall blue.,5822092748.jpg,1,A man,is standing upon a ladder painting a wall blue.,man,standing
A man is painting a building.,5822092748.jpg,1,A man,is painting a building.,man,painting
A man is on a ladder painting a wall,5822092748.jpg,1,A man, is on a ladder painting a wall,man,is
A person is painting.,5822092748.jpg,1,A person,is painting.,person,painting
he is paint on wall,5822092748.jpg,1,he, is painting on wall,he,painting
A man is standing on a ladder while painting a wall.,5822092748.jpg,1,A man,is standing on a ladder while painting a wall.,man,standing
a man is painting a wall while standing on a ladder.,5822092748.jpg,1,a man,is painting a wall while standing on a ladder.,man,painting
A man is painting a house,5822092748.jpg,1,A man,is painting a house,man,painting
A woman is rock climbing.,6677599803.jpg,1,A woman, is rock climbing.,woman,rock climbing
A woman is rock climbing looking upwards.,6677599803.jpg,1,A woman, is rock climbing looking upwards.,woman,rock climbing
A woman clings to the face of a rock she's climbing.,6677599803.jpg,1,A woman, clings to the face of a rock she's climbing,woman,clings
A woman is enjoying a little rock climbing.,6677599803.jpg,1,A woman,is enjoying a little rock climbing.,woman,enjoying
A woman is climbing rocks outdoors.,6677599803.jpg,1,A woman,is climbing rocks outdoors.,woman,climbing
A woman is rock climbing and is part way up holding onto foot holds.,6677599803.jpg,1,A woman, is rock climbing and is part way up holding onto foot holds.,woman,rock climbing
A woman is rock climbing.,6677599803.jpg,1,A woman, is rock climbing.,woman,rock climbing
A woman is rock climbing.,6677599803.jpg,1,A woman, is rock climbing.,woman,rock climbing
A woman is rock climbing.,6677599803.jpg,1,A woman, is rock climbing.,woman,rock climbing
She is climbing up the mountain,6677599803.jpg,1,She,is climbing up the mountain,She,climbing
A woman climbs a mountain's cliff face.,6677599803.jpg,1,A woman, climbs a mountain's cliff face.,woman,climbs
A woman is rock climbing.,6677599803.jpg,1,A woman, is rock climbing.,woman,rock climbing
A woman is rock climbing with gear.,6677599803.jpg,1,A woman,is rockclimbing with gear.,woman,rock climbing
A lady is seen climbing the side of a rocky cliffside.,6677599803.jpg,1,A lady,is seen climbing the side of a rocky cliffside.,lady,is
A woman is rock climbing.,6677599803.jpg,1,A woman, is rock climbing.,woman,rock climbing
a woman is rock climbing.,6677599803.jpg,1,a woman, is rock climbing.,woman,rock climbing
A woman is rockclimbing.,6677599803.jpg,1,A woman,is rock climbing.,woman,rock climbing
A rock climber is hanging on a cliff.,6677599803.jpg,1,A rock climber,is hanging on a cliff.,rock climber,hanging
A woman is rock climbing.,6677599803.jpg,1,A woman, is rock climbing.,woman,rock climbing
A woman is rock climbing,6677599803.jpg,1,A woman, is rock climbing,woman,rock climbing
A women is rock climbing,6677599803.jpg,1,A women, is rock climbing,women,rock climbing
a woman rock climbing,6677599803.jpg,1,a woman, rock climbing,woman,rock climbing
A woman scales a rocky surface.,6677599803.jpg,1,A woman, scales a rocky surface.,woman,scales
A blond woman is rock climbing.,6677599803.jpg,1,A blond woman, is rock climbing.,woman,rock climbing
A woman rock climbs,6677599803.jpg,1,A woman, rock climbs,woman,rock climbs
A woman is rock climbing.,6677599803.jpg,1,A woman, is rock climbing.,woman,rock climbing
A woman is climbing a rockface.,6677599803.jpg,1,A woman,is climbing a rockface.,woman,climbing
A girl is climbing a rock,6677599803.jpg,1,A girl,is climbing a rock,girl,climbing
A person is climbing.,6677599803.jpg,1,A person,is climbing.,person,climbing
A man is playing a drum and another man is standing behind him,3195403123.jpg,1,A man,is playing a drum and another man is standing behind him,man,playing
A native man playing a drum.,3195403123.jpg,1,A native man, playing a drum,man,playing
Two men look into the distance with a smile on their face.,3195403123.jpg,1,Two men, look into the distance with a smile on their face.,men,look
An older man wearing glasses is dressed in ethnic garb playing drums.,3195403123.jpg,1,An older man,is dressed in ethnic garb playing drums.,man,is
A man is playing drums,3195403123.jpg,1,A man,is playing drums,man,playing
An older man is playing a drum.,3195403123.jpg,1,An older man,is playing a drum.,man,playing
A man is drumming.,3195403123.jpg,1,A man,is drumming.,man,drumming
A man dressed in cultural attire is drumming.,3195403123.jpg,1,A man,is drumming.,man,drumming
a man is standing holding drumsticks next to a drum.,3195403123.jpg,1,a man,is standing holding drumsticks next to a drum.,man,standing
Two men in tribal wear are smiling.,3195403123.jpg,1,Two men in tribal wear,are smiling.,men,smiling
Two native american men are playing drums.,3195403123.jpg,1,Two native american men,are playing drums.,men,playing
he play drums,3195403123.jpg,1,he, plays drums,he,plays
2 men are smiling and are wearing native american gear and tapping on drums.,3195403123.jpg,1,Two men,are smiling and are wearing native american gear and tapping on drums.,men,smiling
Man are smiling and looking into the distance and one is holding a drum,3195403123.jpg,1,Men,are smiling and looking into the distance and one is holding a drum,Men,smiling
A man is playing a drum.,3195403123.jpg,1,A man,is playing a drum.,man,playing
A man is playing a drum,3195403123.jpg,1,A man,is playing a drum,man,playing
Two Native American men are in traditional dress and one is holding a drum.,3195403123.jpg,1,Two Native American men, are in traditional dress and one is holding a drum.,men,are
A man is playing drums with his friend looking at him.,3195403123.jpg,1,A man,is playing drums with his friend looking at him.,man,playing
A man is playing a homemade drum.,3195403123.jpg,1,A man,is playing a homemade drum.,man,playing
A man is playing a drum and has a huge smile on his face.,3195403123.jpg,1,A man,is playing a drum and has a huge smile on his face.,man,playing
a guy playing the drum,3195403123.jpg,1,a guy, playing the drum,guy,playing
A group of people are playing the drums.,3195403123.jpg,1,A group of people,are playing the drums.,group,playing
Two people in glasses and ethnic clothing are standing near a drum.,3195403123.jpg,1,Two people in glasses and ethnic clothing,are standing near a drum.,people,standing
An older gentleman is standing near a younger one with a drum.,3195403123.jpg,1,An older gentleman,is standing near a younger one with a drum.,gentleman,standing
A woman is playing a drum.,3195403123.jpg,1,A woman,is playing a drum.,woman,playing
Two people dressed in their native clothing are playing a leather wrapped drum.,3195403123.jpg,1,Two people,are playing a leather wrapped drum.,people,playing
Two smiling men are standing next to each other with one holding a drum.,3195403123.jpg,1,Two smiling men,are standing next to each other with one holding a drum.,men,standing
A couple of men hold a drum and smile.,3195403123.jpg,1,A couple of men, hold a drum and smile.,couple,hold
A man is mowing a lawn.,4893505289.jpg,1,A man,is mowing a lawn.,man,mowing
A man is mowing his lawn.,4893505289.jpg,1,A man,is mowing his lawn.,man,mowing
A man is using a riding lawn mower.,4893505289.jpg,1,A man,is using a riding lawn mower.,man,using
A man cuts the grass on a riding lawn mower.,4893505289.jpg,1,A man, cuts the grass on a riding lawn mower.,man,cuts
A white man dressed in landscaping uniform is mowing a large lawn with a sitting lawn mower.,4893505289.jpg,1,A white man,is mowing a large lawn with a sitting lawn mower.,man,mowing
A man is cutting grass.,4893505289.jpg,1,A man,is cutting grass.,man,cutting
A man is riding a riding lawnmower,4893505289.jpg,1,A man,is riding a riding lawnmower,man,riding
A landscaper is trimming the grass on a machine.,4893505289.jpg,1,A landscaper,is trimming the grass on a machine.,landscaper,trimming
A man is sitting on a riding lawn mower mowing the grass.,4893505289.jpg,1,A man,is sitting on a riding lawn mower mowing the grass.,man,sitting
A man is riding on a riding lawn mower.,4893505289.jpg,1,A man,is riding on a riding lawn mower.,man,riding
he is riding on mower,4893505289.jpg,1,he,is riding on mower,he,riding
A man is riding a large lawnmower.,4893505289.jpg,1,A man,is riding a large lawnmower.,man,riding
A man is riding a sitting lawnmower.,4893505289.jpg,1,A man,is riding a sitting lawnmower.,man,riding
A man is riding on a mower,4893505289.jpg,1,A man,is riding on a mower,man,riding
A man mows using a riding lawn mower.,4893505289.jpg,1,A man, mows using a riding lawn mower.,man,mows
A man is riding a lawnmower,4893505289.jpg,1,A man,is riding a lawnmower,man,riding
A man rides a lawn mower in a large garden.,4893505289.jpg,1,A man, rides a lawn mower in a large garden.,man,rides
a man is riding a lawnmower.,4893505289.jpg,1,a man,is riding a lawnmower.,man,riding
A man is mowing a large yard with a riding mower.,4893505289.jpg,1,A man,is mowing a large yard with a riding mower.,man,mowing
A man is using a riding lawnmower.,4893505289.jpg,1,A man,is using a riding lawnmower.,man,using
A man is driving a lawnmower.,4893505289.jpg,1,A man,is driving a lawnmower.,man,driving
a guy lawn mowing,4893505289.jpg,1,a guy, lawn mowing,guy,mowing
A person is mowing.,4893505289.jpg,1,A person,is mowing.,person,mowing
A man is using a riding mower to mow a lawn,4893505289.jpg,1,A man,is using a riding mower to mow a lawn,man,using
A man is sitting on a riding lawnmower.,4893505289.jpg,1,A man,is sitting on a riding lawnmower.,man,sitting
A man is riding a large lawnmower in a garden.,4893505289.jpg,1,A man,is riding a large lawnmower in a garden.,man,riding
A man is mowing the grass on a large riding lawnmower.,4893505289.jpg,1,A man,is mowing the grass on a large riding lawnmower.,man,mowing
A man is mowing a lawn while sitting down.,4893505289.jpg,1,A man,is mowing a lawn while sitting down.,man,mowing
A man doing landscape work is sitting in a riding mower riding near the hedges.,4893505289.jpg,1,A man,is sitting in a riding mower riding near the hedges.,man,sitting
she makes thread,7828338600.jpg,1,she, makes thread,she,makes
A woman is making thread.,7828338600.jpg,1,A woman,is making thread.,woman,making
A woman is winding thread.,7828338600.jpg,1,A woman, is winding thread.,woman,winding
A woman is operating a machine with thread.,7828338600.jpg,1,A woman,is operating a machine with thread.,woman,operating
A woman is spinning yarn from wool.,7828338600.jpg,1,A woman,is spinning yarn from wool.,woman,spinning
A woman is weaving,7828338600.jpg,1,A woman,is weaving,woman,weaving
A woman is sitting on a mat on the floor using a weaving device.,7828338600.jpg,1,A woman,is sitting on a mat on the floor using a weaving device.,woman,sitting
A woman spins fabric on her loom.,7828338600.jpg,1,A woman, spins fabric on her loom.,woman,spins
A lady is sitting and sewing something with a spindle wheel.,7828338600.jpg,1,A lady,is sitting and sewing something with a spindle wheel.,lady,sitting
A woman is weaving with a traditional weave wheel.,7828338600.jpg,1,A woman,is weaving with a traditional weave wheel.,woman,weaving
A woman is sitting down pulling string in one hand and using a device with the other.,7828338600.jpg,1,A woman,is sitting down pulling string in one hand and using a device with the other.,woman,sitting
A woman activates a device using her hands and feet.,7828338600.jpg,1,A woman, activates a device using her hands and feet.,woman,activates
A woman is making fabric.,7828338600.jpg,1,A woman,is making fabric.,woman,making
An Asian woman sitting on a mat outside is spinning yarn.,7828338600.jpg,1,An Asian woman,is spinning yarn.,woman,spinning
A woman is sitting out on a board with a fan facing her and she is holding a wire.,7828338600.jpg,1,A woman,is sitting out on a board with a fan facing her and she is holding a wire.,woman,sitting
A woman is using a device to weave.,7828338600.jpg,1,A woman,is using a device to weave.,woman,using
"A woman sits on the ground, operating a loom.",7828338600.jpg,1,A woman," sits on the ground, operating a loom.",woman,sits
A person is making fabric.,7828338600.jpg,1,A person,is making fabric.,person,making
A woman is sewing.,7828338600.jpg,1,A woman,is sewing.,woman,sewing
a woman spinning wool,7828338600.jpg,1,a woman, spinning wool,woman,spinning
A woman is using a textile machine,7828338600.jpg,1,A woman,is using a textile machine,woman,using
A women is sitting on the floor working with yarn,7828338600.jpg,1,A woman,is sitting on the floor working with yarn,women,sitting
A woman is spinning yarn.,7828338600.jpg,1,A woman,is spinning yarn.,woman,spinning
A woman is sewing something.,7828338600.jpg,1,A woman,is sewing something.,woman,sewing
A woman is sewing with a primitive sewing machine.,7828338600.jpg,1,A woman,is sewing with a primitive sewing machine.,woman,sewing
A woman is sitting on the floor in front of a fan.,7828338600.jpg,1,A woman,is sitting on the floor in front of a fan.,woman,sitting
A woman is crafting an item.,7828338600.jpg,1,A woman,is crafting an item.,woman,crafting
A woman is using an odd machine to knit.,7828338600.jpg,1,A woman,is using an odd machine to knit.,woman,using
A woman is sitting on the ground making fabric,7828338600.jpg,1,A woman,is sitting on the ground making fabric,woman,sitting
a man is sitting in a sunny grassy area holding a guitar.,23770160.jpg,1,a man,is sitting in a sunny grassy area holding a guitar.,man,sitting
A man is playing a guitar.,23770160.jpg,1,A man,is playing a guitar.,man,playing
A man is playing his guitar outside on the grass,23770160.jpg,1,A man,is playing his guitar outside on the grass,man,playing
a man is playing guitar.,23770160.jpg,1,a man,is playing guitar.,man,playing
A man is playing guitar.,23770160.jpg,1,A man,is playing guitar.,man,playing
A young man with glasses is sitting in the grass playing an acoustic guitar.,23770160.jpg,1,A young man with glasses,is sitting in the grass playing an acoustic guitar.,man,sitting
A man is playing a guitar outside.,23770160.jpg,1,A man,is playing a guitar outside.,man,playing
a guy playing the guitar,23770160.jpg,1,a guy, playing the guitar,guy,playing
A man with longer hair is sitting in a field playing his guitar.,23770160.jpg,1,A man with longer hair,is sitting in a field playing his guitar.,man,sitting
A man is playing an acoustic guitar outside.,23770160.jpg,1,A man,is playing an acoustic guitar outside.,man,playing
A young man is playing the guitar outside.,23770160.jpg,1,A young man,is playing the guitar outside.,man,playing
A man is strumming a guitar,23770160.jpg,1,A man,is strumming a guitar,man,strumming
A man is sitting on the grass playing the guitar,23770160.jpg,1,A man,is sitting on the grass playing the guitar,man,sitting
A guy is holding his guitar.,23770160.jpg,1,A guy,is holding his guitar.,guy,holding
A man plays the guitar while sitting on the grass.,23770160.jpg,1,A man, plays the guitar while sitting on the grass.,man,plays
A man is playing his guitar on the grass.,23770160.jpg,1,A man,is playing his guitar on the grass.,man,playing
A guy is sitting on the grass playing an acoustic guitar.,23770160.jpg,1,A guy,is sitting on the grass playing an acoustic guitar.,guy,sitting
A man is playing the guitar.,23770160.jpg,1,A man,is playing the guitar.,man,playing
A sitting man is playing the guitar.,23770160.jpg,1,A sitting man,is playing the guitar.,man,playing
A young man is sitting on green grass playing an acoustic guitar.,23770160.jpg,1,A young man,is sitting on green grass playing an acoustic guitar.,man,sitting
A young man plays the acoustic guitar while sitting in the grass.,23770160.jpg,1,A young man, plays the acoustic guitar while sitting in the grass.,man,plays
A man in glasses plays a guitar while sitting on the grass.,23770160.jpg,1,A man in glasses, plays a guitar while sitting on the grass.,man,plays
A man plays the acoustic guitar,23770160.jpg,1,A man, plays the acoustic guitar,man,plays
A man with long hair is sitting down on grass outside holding a guitar.,23770160.jpg,1,A man with long hair,is sitting down on grass outside holding a guitar.,man,sitting
A man sits and plays the guitar.,23770160.jpg,1,A man, sits and plays the guitar.,man,sits
A man is playing an acoustic guitar.,23770160.jpg,1,A man,is playing an acoustic guitar.,man,playing
A young man sits in the grass with a guitar.,23770160.jpg,1,A young man, sits in the grass with a guitar.,man,sits
he play a guitar,23770160.jpg,1,he, plays a guitar,he,plays
A guy is sitting in the grass playing his guitar.,23770160.jpg,1,A guy,is sitting in the grass playing his guitar.,guy,sitting
The chef is tasting his stew.,5366770416.jpg,1,The chef,is tasting his stew.,chef,tasting
A man tasting some soup.,5366770416.jpg,1,A man, tasting some soup,man,tasting
A white man wearing a fedora and white shirt is tasting a soup in a commercial kitchen.,5366770416.jpg,1,A white man,is tasting a soup in a commercial kitchen.,man,tasting
A cook is staring at a pot of food that he's adding spices to.,5366770416.jpg,1,A cook,is staring at a pot of food that he's adding spices to.,cook,staring
A man is spooning food from a large pot.,5366770416.jpg,1,A man,is spooning food from a large pot.,man,spooning
A man is tasting soup.,5366770416.jpg,1,A man,is tasting soup.,man,tasting
A cook is tasting some food in the kitchen.,5366770416.jpg,1,A cook,is tasting some food in the kitchen.,cook,tasting
A cook tastes the soup he is cooking.,5366770416.jpg,1,A cook, tastes the soup he is cooking.,cook,tastes
A cook wearing a hat and apron is getting ready to sample the soup he just made.,5366770416.jpg,1,A cook,is getting ready to sample the soup he just made.,cook,getting
A man is testing soup to see if it's done,5366770416.jpg,1,A man,is tasting soup to see if it's done,man,tasting
A man is tasting his soup while he cooks it.,5366770416.jpg,1,A man,is tasting his soup while he cooks it.,man,tasting
A man in a hat is trying a bite of food from a large pot that's on the stove.,5366770416.jpg,1,A man in a hat,is trying a bite of food from a large pot that's on the stove.,man,trying
A man tastes the food on the stove,5366770416.jpg,1,A man, tastes the food on the stove,man,tastes
A cook taste test his dish.,5366770416.jpg,1,A cook, taste tests his dish,cook,taste tests
A cook is tasting the soup.,5366770416.jpg,1,A cook,is tasting the soup.,cook,tasting
A man is tasting some soup.,5366770416.jpg,1,A man,is tasting some soup.,man,tasting
a guy cooking,5366770416.jpg,1,a guy, cooking,guy,cooking
a man is testing the meal that is cooking beneath him.,5366770416.jpg,1,a man,is testing the meal that is cooking beneath him.,man,testing
he make recipe,5366770416.jpg,1,he, make recipe,he,make
A person is cooking and tasting the meal they are making in a kitchen.,5366770416.jpg,1,A person,is cooking and tasting the meal they are making in a kitchen.,person,cooking
A man is cooking.,5366770416.jpg,1,A man,is cooking.,man,cooking
A man is holding something over a large pot of food.,5366770416.jpg,1,A man,is holding something over a large pot of food.,man,holding
A chef is taste testing his creation.,5366770416.jpg,1,A chef, is taste testing his creation.,chef,taste testing
A man in a hat is tasting food from a pot on the stove,5366770416.jpg,1,A man in a hat,is tasting food from a pot on the stove,man,tasting
A man in a hat gets ready to take a bite from something in a pot.,5366770416.jpg,1,A man in a hate, gets ready to take a bite from something in a pot.,man,gets
A man is tasting a large pot of soup.,5366770416.jpg,1,A man,is tasting a large pot of soup.,man,tasting
A chef is tasting his food in the kitchen.,5366770416.jpg,1,A chef,is tasting his food in the kitchen.,chef,tasting
A man wearing a hat is about to taste some food from the pot its cooking in.,5366770416.jpg,1,A man, is about to taste some food from the pot its cooking in.,man,is
A man is tasting some food,5366770416.jpg,1,A man,is tasting some food,man,tasting
I blond woman is holding a black and white puppy.,5194027799.jpg,1,A blond woman,is holding a black and white puppy,woman,holding
A woman is holding a small puppy.,5194027799.jpg,1,A woman,is holding a small puppy.,woman,holding
a woman holding a dog,5194027799.jpg,1,a woman, holding a dog,woman,holding
A woman is holding a small puppy.,5194027799.jpg,1,A woman,is holding a small puppy.,woman,holding
"A young woman is holding a very tiny, recently born, puppy.",5194027799.jpg,1,A young woman,"is holding a very tiny, recently born, puppy.",woman,holding
A girl wearing a black and flowered dress is holding a tiny black and white puppy.,5194027799.jpg,1,A girl,is holding a tiny black and white puppy.,girl,holding
A woman holds a small puppy.,5194027799.jpg,1,A woman, holds a small puppy.,woman,holds
She has a dog in her hand,5194027799.jpg,1,She, has a dog in her hand,She,has
A woman holds a puppy,5194027799.jpg,1,A woman, holds a puppy,woman,holds
A young woman is holding a baby puppy in her hands.,5194027799.jpg,1,A young woman,is holding a baby puppy in her hands.,woman,holding
A young woman is holding a small puppy.,5194027799.jpg,1,A young woman,is holding a small puppy.,woman,holding
A person has a puppy.,5194027799.jpg,1,A person, has a puppy.,person,has
A woman in a dress holds a small puppy.,5194027799.jpg,1,A woman in a dress, holds a small puppy.,woman,holds
A woman is holding a puppy dog,5194027799.jpg,1,A woman,is holding a puppy dog,woman,holding
A woman is holding a puppy.,5194027799.jpg,1,A woman,is holding a puppy.,woman,holding
A girl is holding a puppy.,5194027799.jpg,1,A girl,is holding a puppy.,girl,holding
A woman holds a tiny puppy,5194027799.jpg,1,A woman, holds a tiny puppy,woman,holds
A woman is holding a small puppy.,5194027799.jpg,1,A woman,is holding a small puppy.,woman,holding
A girl is holding a puppy outdoors.,5194027799.jpg,1,A girl,is holding a puppy outdoors.,girl,holding
a girl is holding a small dog.,5194027799.jpg,1,a girl,is holding a small dog.,girl,holding
A woman is holding a small puppy.,5194027799.jpg,1,A woman,is holding a small puppy.,woman,holding
A young woman is holding a tiny puppy.,5194027799.jpg,1,A young woman,is holding a tiny puppy.,woman,holding
A girl cradles a puppy in her hands.,5194027799.jpg,1,A girl, cradles a puppy in her hands.,girl,cradles
A young woman is holding a small puppy.,5194027799.jpg,1,A young woman,is holding a small puppy.,woman,holding
A lady is holding a very young puppy.,5194027799.jpg,1,A lady,is holding a very young puppy.,lady,holding
A woman is holding her puppy.,5194027799.jpg,1,A woman,is holding her puppy.,woman,holding
A lady is holding a very small newborn puppy close to her.,5194027799.jpg,1,A lady,is holding a very small newborn puppy close to her.,lady,holding
A women is holding a little puppy,5194027799.jpg,1,A woman,is holding a little puppy,woman,holding
A woman with a black dress is holding a black and white puppy and admiring it.,5194027799.jpg,1,A woman,is holding a black and white puppy and admiring it.,woman,holding
A child is playing with two toys.,325742196.jpg,1,A child,is playing with two toys.,child,playing
A little girl is playing with a couple of toy figures.,325742196.jpg,1,A little girl,is playing with a couple of toy figures.,girl,playing
A girl is playing with dolls.,325742196.jpg,1,A girl,is playing with dolls.,girl,playing
A girl is playing with tiny dolls.,325742196.jpg,1,A girl,is playing with tiny dolls.,girl,playing
A child is playing with toys.,325742196.jpg,1,A child,is playing with toys.,child,playing
A child is playing with some dolls.,325742196.jpg,1,A child,is playing with some dolls.,child,playing
A girl is playing with toys.,325742196.jpg,1,A girl,is playing with toys.,girl,playing
A young girl is playing with her dolls.,325742196.jpg,1,A young girl,is playing with her dolls.,girl,playing
A little girl plays with her two dolls.,325742196.jpg,1,A little girl, plays with her two dolls.,girl,plays
A girl plays with plastic toy dolls,325742196.jpg,1,A girl, plays with plastic toy dolls,girl,plays
a girl is playing with a doll.,325742196.jpg,1,a girl,is playing with a doll.,girl,playing
A kid is playing.,325742196.jpg,1,A kid,is playing.,kid,playing
A little girl is playing with dolls.,325742196.jpg,1,A little girl,is playing with dolls.,girl,playing
A little girl is playing with two small toys.,325742196.jpg,1,A little girl,is playing with two small toys.,girl,playing
A little girl is playing with her dolls.,325742196.jpg,1,A little girl,is playing with her dolls.,girl,playing
A girl in playing with dolls.,325742196.jpg,1,A girl,is playing with dolls,girl,playing
A little blond toddler girl is playing with a tiny plastic doll.,325742196.jpg,1,A little blond toddler girl,is playing with a tiny plastic doll.,girl,playing
A child plays with dolls.,325742196.jpg,1,A child, plays with dolls.,child,plays
A young child is playing with figurines.,325742196.jpg,1,A young child,is playing with figurines.,child,playing
a girl playing with dolls,325742196.jpg,1,a girl, playing with dolls,girl,playing
she play with doll,325742196.jpg,1,she, plays with doll,she,plays
A little girl is playing with her toys,325742196.jpg,1,A little girl,is playing with her toys,girl,playing
A child is playing with her toys.,325742196.jpg,1,A child,is playing with her toys.,child,playing
A little girl is playing with toy figures.,325742196.jpg,1,A little girl,is playing with toy figures.,girl,playing
A child plays with a small toy.,325742196.jpg,1,A child, plays with a small toy.,child,plays
A girl is playing with a doll,325742196.jpg,1,A girl,is playing with a doll,girl,playing
A young girl is playing with figures.,325742196.jpg,1,A young girl,is playing with figures.,girl,playing
A young child plays with a couple dolls.,325742196.jpg,1,A young child, plays with a couple dolls.,child,plays
A girl plays with her dolls,325742196.jpg,1,A girl, plays with her dolls,girl,plays
A baby with a hat is napping.,5326961690.jpg,1,A baby with a hat,is napping.,baby,napping
A baby sleeps soundly.,5326961690.jpg,1,A baby, sleeps soundly.,baby,sleeps
baby is sleeping,5326961690.jpg,1,baby,is sleeping,baby,sleeping
A baby lies sleeping.,5326961690.jpg,1,A baby, lies sleeping.,baby,lies
A baby is sleeping.,5326961690.jpg,1,A baby,is sleeping.,baby,sleeping
A baby with a pink hat is sleeping on fur.,5326961690.jpg,1,A baby with a pink hat,is sleeping on fur.,baby,sleeping
An infant is napping.,5326961690.jpg,1,An infant,is napping.,infant,napping
A baby is sleeping on a carpet.,5326961690.jpg,1,A baby,is sleeping on a carpet.,baby,sleeping
A boy is sleeping.,5326961690.jpg,1,A boy,is sleeping.,boy,sleeping
A new born baby is sleeping while getting their picture taken.,5326961690.jpg,1,A new born baby,is sleeping while getting their picture taken.,baby,sleeping
A precious baby is laying on her stomach on a gray blanket naked with only a pink crocheted hat.,5326961690.jpg,1,A precious baby,is laying on her stomach on a gray blanket naked with only a pink crocheted hat.,baby,laying
A baby is sleeping,5326961690.jpg,1,A baby,is sleeping,baby,sleeping
A baby is a pink hat is sleeping.,5326961690.jpg,1,A baby in a pink hat,is sleeping,baby,sleeping
A white baby wearing only a pink beanie is sleeping on its tummy on a gray blanket.,5326961690.jpg,1,A white baby,is sleeping on its tummy on a gray blanket.,baby,sleeping
a baby sleeping,5326961690.jpg,1,a baby, sleeping,baby,sleeping
A baby with a hat is sleeping.,5326961690.jpg,1,A baby with a hat,is sleeping.,baby,sleeping
A baby is sleeping.,5326961690.jpg,1,A baby,is sleeping.,baby,sleeping
