network, fROI, cond1, cond1_src, cond2, cond2_src, warning_message
MD, 11, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 12, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 13, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 14, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 15, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 16, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 17, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 18, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 19, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 20, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 1-20, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 1, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 2, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 3, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 4, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 5, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 6, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 7, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 8, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 9, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 10, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 11, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 12, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 13, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 14, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 15, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 16, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 17, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 18, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 19, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 20, SProd, expt1_MD_prod, NProd, expt1_MD_prod , 
MD, 1-20, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 1, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 2, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 3, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 4, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 5, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 6, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 7, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 8, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 9, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 10, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 11, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 12, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 13, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 14, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 15, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 16, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 17, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 18, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 19, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 20, SProd, expt2_MD_prod, WProd, expt2_MD_prod , 
MD, 1-20, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 1, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 2, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 3, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 4, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 5, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 6, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 7, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 8, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 9, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 10, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 11, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 12, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 13, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 14, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 15, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 16, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 17, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 18, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 19, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 20, SProd, expt3_MD_prod, WProd, expt3_MD_prod , 
MD, 1-20, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 1, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 2, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 3, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 4, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 5, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 6, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 7, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 8, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 9, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 10, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 11, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 12, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 13, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 14, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 15, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 16, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 17, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 18, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 19, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
MD, 20, SProd, expt3_MD_prod, NProd, expt3_MD_prod , 
