ROI,Subject,Weight
1,742_FED_20190320b_3T2_PL2017,1.000000
1,746_FED_20190328a_3T2_PL2017,1.000000
1,747_FED_20190328b_3T2_PL2017,1.000000
1,748_FED_20190328c_3T2_PL2017,1.000000
1,749_FED_20190404a_3T2_PL2017,1.000000
1,750_FED_20190404b_3T2_PL2017,1.000000
1,751_FED_20190404c_3T2_PL2017,1.000000
1,752_FED_20190404d_3T2_PL2017,1.000000
1,753_FED_20190405a_3T2_PL2017,1.000000
1,754_FED_20190405b_3T2_PL2017,1.000000
1,755_FED_20190411a_3T2_PL2017,1.000000
1,756_FED_20190411b_3T2_PL2017,1.000000
1,757_FED_20190411c_3T2_PL2017,1.000000
1,758_FED_20190411d_3T2_PL2017,1.000000
1,768_FED_20190517a_3T2_PL2017,1.000000
1,770_FED_20191120c_3T2_PL2017,1.000000
1,788_FED_20191120b_3T2_PL2017,1.000000
1,803_FED_20191120d_3T2_PL2017,1.000000
1,805_FED_20191204a_3T2_PL2017,1.000000
1,806_FED_20191204b_3T2_PL2017,0.000000
1,807_FED_20191204c_3T2_PL2017,1.000000
1,797_FED_20200205a_3T2_PL2017,1.000000
1,261_FED_20200205b_3T2_PL2017,1.000000
1,824_FED_20200130a_3T2_PL2017,1.000000
1,825_FED_20200130b_3T2_PL2017,1.000000
1,826_FED_20200130c_3T2_PL2017,1.000000
1,827_FED_20200130d_3T2_PL2017,1.000000
1,828_FED_20200205c_3T2_PL2017,1.000000
1,831_FED_20200213b_3T2_PL2017,1.000000
2,742_FED_20190320b_3T2_PL2017,1.000000
2,746_FED_20190328a_3T2_PL2017,1.000000
2,747_FED_20190328b_3T2_PL2017,1.000000
2,748_FED_20190328c_3T2_PL2017,1.000000
2,749_FED_20190404a_3T2_PL2017,1.000000
2,750_FED_20190404b_3T2_PL2017,1.000000
2,751_FED_20190404c_3T2_PL2017,1.000000
2,752_FED_20190404d_3T2_PL2017,1.000000
2,753_FED_20190405a_3T2_PL2017,1.000000
2,754_FED_20190405b_3T2_PL2017,1.000000
2,755_FED_20190411a_3T2_PL2017,1.000000
2,756_FED_20190411b_3T2_PL2017,1.000000
2,757_FED_20190411c_3T2_PL2017,1.000000
2,758_FED_20190411d_3T2_PL2017,1.000000
2,768_FED_20190517a_3T2_PL2017,1.000000
2,770_FED_20191120c_3T2_PL2017,1.000000
2,788_FED_20191120b_3T2_PL2017,1.000000
2,803_FED_20191120d_3T2_PL2017,1.000000
2,805_FED_20191204a_3T2_PL2017,1.000000
2,806_FED_20191204b_3T2_PL2017,0.000000
2,807_FED_20191204c_3T2_PL2017,1.000000
2,797_FED_20200205a_3T2_PL2017,1.000000
2,261_FED_20200205b_3T2_PL2017,1.000000
2,824_FED_20200130a_3T2_PL2017,1.000000
2,825_FED_20200130b_3T2_PL2017,1.000000
2,826_FED_20200130c_3T2_PL2017,1.000000
2,827_FED_20200130d_3T2_PL2017,1.000000
2,828_FED_20200205c_3T2_PL2017,1.000000
2,831_FED_20200213b_3T2_PL2017,1.000000
3,742_FED_20190320b_3T2_PL2017,1.000000
3,746_FED_20190328a_3T2_PL2017,1.000000
3,747_FED_20190328b_3T2_PL2017,1.000000
3,748_FED_20190328c_3T2_PL2017,1.000000
3,749_FED_20190404a_3T2_PL2017,1.000000
3,750_FED_20190404b_3T2_PL2017,1.000000
3,751_FED_20190404c_3T2_PL2017,1.000000
3,752_FED_20190404d_3T2_PL2017,1.000000
3,753_FED_20190405a_3T2_PL2017,1.000000
3,754_FED_20190405b_3T2_PL2017,1.000000
3,755_FED_20190411a_3T2_PL2017,1.000000
3,756_FED_20190411b_3T2_PL2017,1.000000
3,757_FED_20190411c_3T2_PL2017,1.000000
3,758_FED_20190411d_3T2_PL2017,1.000000
3,768_FED_20190517a_3T2_PL2017,1.000000
3,770_FED_20191120c_3T2_PL2017,1.000000
3,788_FED_20191120b_3T2_PL2017,1.000000
3,803_FED_20191120d_3T2_PL2017,1.000000
3,805_FED_20191204a_3T2_PL2017,1.000000
3,806_FED_20191204b_3T2_PL2017,1.000000
3,807_FED_20191204c_3T2_PL2017,1.000000
3,797_FED_20200205a_3T2_PL2017,1.000000
3,261_FED_20200205b_3T2_PL2017,1.000000
3,824_FED_20200130a_3T2_PL2017,1.000000
3,825_FED_20200130b_3T2_PL2017,0.000000
3,826_FED_20200130c_3T2_PL2017,1.000000
3,827_FED_20200130d_3T2_PL2017,1.000000
3,828_FED_20200205c_3T2_PL2017,1.000000
3,831_FED_20200213b_3T2_PL2017,1.000000
4,742_FED_20190320b_3T2_PL2017,1.000000
4,746_FED_20190328a_3T2_PL2017,1.000000
4,747_FED_20190328b_3T2_PL2017,1.000000
4,748_FED_20190328c_3T2_PL2017,1.000000
4,749_FED_20190404a_3T2_PL2017,1.000000
4,750_FED_20190404b_3T2_PL2017,1.000000
4,751_FED_20190404c_3T2_PL2017,1.000000
4,752_FED_20190404d_3T2_PL2017,1.000000
4,753_FED_20190405a_3T2_PL2017,1.000000
4,754_FED_20190405b_3T2_PL2017,1.000000
4,755_FED_20190411a_3T2_PL2017,1.000000
4,756_FED_20190411b_3T2_PL2017,1.000000
4,757_FED_20190411c_3T2_PL2017,1.000000
4,758_FED_20190411d_3T2_PL2017,1.000000
4,768_FED_20190517a_3T2_PL2017,1.000000
4,770_FED_20191120c_3T2_PL2017,1.000000
4,788_FED_20191120b_3T2_PL2017,1.000000
4,803_FED_20191120d_3T2_PL2017,1.000000
4,805_FED_20191204a_3T2_PL2017,1.000000
4,806_FED_20191204b_3T2_PL2017,1.000000
4,807_FED_20191204c_3T2_PL2017,1.000000
4,797_FED_20200205a_3T2_PL2017,1.000000
4,261_FED_20200205b_3T2_PL2017,1.000000
4,824_FED_20200130a_3T2_PL2017,1.000000
4,825_FED_20200130b_3T2_PL2017,1.000000
4,826_FED_20200130c_3T2_PL2017,0.000000
4,827_FED_20200130d_3T2_PL2017,1.000000
4,828_FED_20200205c_3T2_PL2017,1.000000
4,831_FED_20200213b_3T2_PL2017,1.000000
5,742_FED_20190320b_3T2_PL2017,0.000000
5,746_FED_20190328a_3T2_PL2017,1.000000
5,747_FED_20190328b_3T2_PL2017,0.000000
5,748_FED_20190328c_3T2_PL2017,1.000000
