ROI,Effect,MeanEffect,StdEffect,StderrEffect,Expt,Network,Localizer_contrast,CriticalTask,ROI_name,Speak_and_type,Hemisphere
4,VisEvSem,0.001086,0.413202,0.110433,E1,lang,S>N,ProdLoc_spoken,AntTemp,1,LH
5,SProd,0.907813,0.764063,0.204204,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,LH
5,WProd,0.627765,0.534949,0.142971,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,LH
5,SComp,0.601919,0.573161,0.153184,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,LH
5,WComp,0.269728,0.343363,0.091768,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,LH
5,NProd,0.437602,0.648813,0.173402,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,LH
5,VisEvSem,0.191394,0.614528,0.16424,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,LH
6,SProd,0.412435,0.979373,0.261748,E1,lang,S>N,ProdLoc_spoken,AngG,1,LH
6,WProd,-0.101906,0.733489,0.196033,E1,lang,S>N,ProdLoc_spoken,AngG,1,LH
6,SComp,0.180463,0.616298,0.164713,E1,lang,S>N,ProdLoc_spoken,AngG,1,LH
6,WComp,-0.186029,0.568775,0.152011,E1,lang,S>N,ProdLoc_spoken,AngG,1,LH
6,NProd,-0.540577,0.852136,0.227743,E1,lang,S>N,ProdLoc_spoken,AngG,1,LH
6,VisEvSem,0.161715,0.706816,0.188904,E1,lang,S>N,ProdLoc_spoken,AngG,1,LH
7,SProd,0.385547,0.747075,0.199664,E1,lang,S>N,ProdLoc_spoken,IFGorb,1,RH
7,WProd,0.204121,0.812748,0.217216,E1,lang,S>N,ProdLoc_spoken,IFGorb,1,RH
7,SComp,-0.132085,0.481244,0.128618,E1,lang,S>N,ProdLoc_spoken,IFGorb,1,RH
7,WComp,-0.062042,0.423153,0.113092,E1,lang,S>N,ProdLoc_spoken,IFGorb,1,RH
7,NProd,0.434615,0.878969,0.234914,E1,lang,S>N,ProdLoc_spoken,IFGorb,1,RH
7,VisEvSem,-0.074099,0.558578,0.149286,E1,lang,S>N,ProdLoc_spoken,IFGorb,1,RH
8,SProd,0.308055,0.823583,0.220112,E1,lang,S>N,ProdLoc_spoken,IFG,1,RH
8,WProd,0.191652,0.971373,0.25961,E1,lang,S>N,ProdLoc_spoken,IFG,1,RH
8,SComp,0.108408,0.618652,0.165342,E1,lang,S>N,ProdLoc_spoken,IFG,1,RH
8,WComp,-0.093388,0.643774,0.172056,E1,lang,S>N,ProdLoc_spoken,IFG,1,RH
8,NProd,0.330704,1.070894,0.286209,E1,lang,S>N,ProdLoc_spoken,IFG,1,RH
8,VisEvSem,0.13833,0.744802,0.199057,E1,lang,S>N,ProdLoc_spoken,IFG,1,RH
9,SProd,0.654568,0.751458,0.200836,E1,lang,S>N,ProdLoc_spoken,MFG,1,RH
9,WProd,0.747829,0.687978,0.18387,E1,lang,S>N,ProdLoc_spoken,MFG,1,RH
9,SComp,0.005772,0.339945,0.090854,E1,lang,S>N,ProdLoc_spoken,MFG,1,RH
9,WComp,0.120254,0.350198,0.093594,E1,lang,S>N,ProdLoc_spoken,MFG,1,RH
