ROI,Subject,Effect,LocalizerSize,EffectSize,Expt,Network,Localizer_contrast,CriticalTask,ROI_name,Speak_and_type,Hemisphere
3,752_FED_20190404d_3T2_PL2017,S,46,4.683033,E1,lang,S>N,langloc,MFG,0,LH
3,752_FED_20190404d_3T2_PL2017,N,46,2.399653,E1,lang,S>N,langloc,MFG,0,LH
3,753_FED_20190405a_3T2_PL2017,S,46,4.302167,E1,lang,S>N,langloc,MFG,0,LH
3,753_FED_20190405a_3T2_PL2017,N,46,1.40208,E1,lang,S>N,langloc,MFG,0,LH
3,754_FED_20190405b_3T2_PL2017,S,46,1.683947,E1,lang,S>N,langloc,MFG,0,LH
3,754_FED_20190405b_3T2_PL2017,N,46,0.876809,E1,lang,S>N,langloc,MFG,0,LH
3,755_FED_20190411a_3T2_PL2017,S,46,5.824347,E1,lang,S>N,langloc,MFG,0,LH
3,755_FED_20190411a_3T2_PL2017,N,46,4.099801,E1,lang,S>N,langloc,MFG,0,LH
3,756_FED_20190411b_3T2_PL2017,S,46,3.239269,E1,lang,S>N,langloc,MFG,0,LH
3,756_FED_20190411b_3T2_PL2017,N,46,0.875766,E1,lang,S>N,langloc,MFG,0,LH
3,757_FED_20190411c_3T2_PL2017,S,46,4.203663,E1,lang,S>N,langloc,MFG,0,LH
3,757_FED_20190411c_3T2_PL2017,N,46,2.276055,E1,lang,S>N,langloc,MFG,0,LH
3,758_FED_20190411d_3T2_PL2017,S,46,3.265094,E1,lang,S>N,langloc,MFG,0,LH
3,758_FED_20190411d_3T2_PL2017,N,46,1.064543,E1,lang,S>N,langloc,MFG,0,LH
3,768_FED_20190517a_3T2_PL2017,S,46,3.913843,E1,lang,S>N,langloc,MFG,0,LH
3,768_FED_20190517a_3T2_PL2017,N,46,1.803627,E1,lang,S>N,langloc,MFG,0,LH
4,742_FED_20190320b_3T2_PL2017,S,162,0.628268,E1,lang,S>N,langloc,AntTemp,0,LH
4,742_FED_20190320b_3T2_PL2017,N,162,0.043178,E1,lang,S>N,langloc,AntTemp,0,LH
4,746_FED_20190328a_3T2_PL2017,S,162,0.410613,E1,lang,S>N,langloc,AntTemp,0,LH
4,746_FED_20190328a_3T2_PL2017,N,162,-0.463723,E1,lang,S>N,langloc,AntTemp,0,LH
4,747_FED_20190328b_3T2_PL2017,S,162,1.641758,E1,lang,S>N,langloc,AntTemp,0,LH
4,747_FED_20190328b_3T2_PL2017,N,162,0.298209,E1,lang,S>N,langloc,AntTemp,0,LH
4,748_FED_20190328c_3T2_PL2017,S,162,1.398045,E1,lang,S>N,langloc,AntTemp,0,LH
4,748_FED_20190328c_3T2_PL2017,N,162,0.237637,E1,lang,S>N,langloc,AntTemp,0,LH
4,749_FED_20190404a_3T2_PL2017,S,162,1.071105,E1,lang,S>N,langloc,AntTemp,0,LH
4,749_FED_20190404a_3T2_PL2017,N,162,-0.356815,E1,lang,S>N,langloc,AntTemp,0,LH
4,750_FED_20190404b_3T2_PL2017,S,162,2.078812,E1,lang,S>N,langloc,AntTemp,0,LH
4,750_FED_20190404b_3T2_PL2017,N,162,0.314018,E1,lang,S>N,langloc,AntTemp,0,LH
4,751_FED_20190404c_3T2_PL2017,S,162,0.789504,E1,lang,S>N,langloc,AntTemp,0,LH
4,751_FED_20190404c_3T2_PL2017,N,162,0.245452,E1,lang,S>N,langloc,AntTemp,0,LH
4,752_FED_20190404d_3T2_PL2017,S,162,0.920926,E1,lang,S>N,langloc,AntTemp,0,LH
4,752_FED_20190404d_3T2_PL2017,N,162,-1.0145,E1,lang,S>N,langloc,AntTemp,0,LH
4,753_FED_20190405a_3T2_PL2017,S,162,0.743298,E1,lang,S>N,langloc,AntTemp,0,LH
4,753_FED_20190405a_3T2_PL2017,N,162,-0.287358,E1,lang,S>N,langloc,AntTemp,0,LH
4,754_FED_20190405b_3T2_PL2017,S,162,0.75983,E1,lang,S>N,langloc,AntTemp,0,LH
4,754_FED_20190405b_3T2_PL2017,N,162,-0.031631,E1,lang,S>N,langloc,AntTemp,0,LH
4,755_FED_20190411a_3T2_PL2017,S,162,4.850232,E1,lang,S>N,langloc,AntTemp,0,LH
4,755_FED_20190411a_3T2_PL2017,N,162,3.081267,E1,lang,S>N,langloc,AntTemp,0,LH
4,756_FED_20190411b_3T2_PL2017,S,162,1.980575,E1,lang,S>N,langloc,AntTemp,0,LH
4,756_FED_20190411b_3T2_PL2017,N,162,0.25585,E1,lang,S>N,langloc,AntTemp,0,LH
4,757_FED_20190411c_3T2_PL2017,S,162,2.275856,E1,lang,S>N,langloc,AntTemp,0,LH
4,757_FED_20190411c_3T2_PL2017,N,162,0.32924,E1,lang,S>N,langloc,AntTemp,0,LH
4,758_FED_20190411d_3T2_PL2017,S,162,0.873861,E1,lang,S>N,langloc,AntTemp,0,LH
4,758_FED_20190411d_3T2_PL2017,N,162,-0.230974,E1,lang,S>N,langloc,AntTemp,0,LH
4,768_FED_20190517a_3T2_PL2017,S,162,2.599938,E1,lang,S>N,langloc,AntTemp,0,LH
4,768_FED_20190517a_3T2_PL2017,N,162,0.739735,E1,lang,S>N,langloc,AntTemp,0,LH
5,742_FED_20190320b_3T2_PL2017,S,294,0.991599,E1,lang,S>N,langloc,PostTemp,0,LH
5,742_FED_20190320b_3T2_PL2017,N,294,0.248535,E1,lang,S>N,langloc,PostTemp,0,LH
5,746_FED_20190328a_3T2_PL2017,S,294,2.101096,E1,lang,S>N,langloc,PostTemp,0,LH
5,746_FED_20190328a_3T2_PL2017,N,294,0.508527,E1,lang,S>N,langloc,PostTemp,0,LH
5,747_FED_20190328b_3T2_PL2017,S,294,2.507561,E1,lang,S>N,langloc,PostTemp,0,LH
5,747_FED_20190328b_3T2_PL2017,N,294,1.425378,E1,lang,S>N,langloc,PostTemp,0,LH
5,748_FED_20190328c_3T2_PL2017,S,294,1.813644,E1,lang,S>N,langloc,PostTemp,0,LH
5,748_FED_20190328c_3T2_PL2017,N,294,0.53048,E1,lang,S>N,langloc,PostTemp,0,LH
5,749_FED_20190404a_3T2_PL2017,S,294,1.610634,E1,lang,S>N,langloc,PostTemp,0,LH
5,749_FED_20190404a_3T2_PL2017,N,294,0.448523,E1,lang,S>N,langloc,PostTemp,0,LH
5,750_FED_20190404b_3T2_PL2017,S,294,2.66966,E1,lang,S>N,langloc,PostTemp,0,LH
5,750_FED_20190404b_3T2_PL2017,N,294,1.097669,E1,lang,S>N,langloc,PostTemp,0,LH
5,751_FED_20190404c_3T2_PL2017,S,294,0.311617,E1,lang,S>N,langloc,PostTemp,0,LH
5,751_FED_20190404c_3T2_PL2017,N,294,-0.458441,E1,lang,S>N,langloc,PostTemp,0,LH
5,752_FED_20190404d_3T2_PL2017,S,294,2.456907,E1,lang,S>N,langloc,PostTemp,0,LH
5,752_FED_20190404d_3T2_PL2017,N,294,0.648771,E1,lang,S>N,langloc,PostTemp,0,LH
5,753_FED_20190405a_3T2_PL2017,S,294,1.74923,E1,lang,S>N,langloc,PostTemp,0,LH
5,753_FED_20190405a_3T2_PL2017,N,294,0.338497,E1,lang,S>N,langloc,PostTemp,0,LH
5,754_FED_20190405b_3T2_PL2017,S,294,1.242756,E1,lang,S>N,langloc,PostTemp,0,LH
5,754_FED_20190405b_3T2_PL2017,N,294,0.616443,E1,lang,S>N,langloc,PostTemp,0,LH
5,755_FED_20190411a_3T2_PL2017,S,294,4.236084,E1,lang,S>N,langloc,PostTemp,0,LH
5,755_FED_20190411a_3T2_PL2017,N,294,2.772019,E1,lang,S>N,langloc,PostTemp,0,LH
5,756_FED_20190411b_3T2_PL2017,S,294,2.90034,E1,lang,S>N,langloc,PostTemp,0,LH
